state_loading_ms_mean,state_loading_ms_median,state_loading_ms_p95,state_loading_ms_std,policy_inference_ms_mean,policy_inference_ms_median,policy_inference_ms_p95,policy_inference_ms_std,gating_ms_mean,gating_ms_median,gating_ms_p95,gating_ms_std,generation_stub_ms_mean,generation_stub_ms_median,generation_stub_ms_p95,generation_stub_ms_std,logging_ms_mean,logging_ms_median,logging_ms_p95,logging_ms_std,total_latency_ms_mean,total_latency_ms_median,total_latency_ms_p95,total_latency_ms_std,dataset_fraction,workload_name,decision_points,policy_mode,seed,workers
0.0,0.0,0.0,0.0,0.001174681056986448,0.0011249999829487933,0.0012849999961872527,0.0005752320554260956,0.00024905374450384237,0.00023000001192485797,0.0002569999821844249,0.0005533964235357439,0.004969054626020293,0.0034960000050432427,0.010317699994288887,0.003215590192944354,0.004295414977943662,0.004177999983312475,0.004515899999546491,0.0010732082892930433,0.013246495154266335,0.011607000004687507,0.01872960000355306,0.003758192431200936,0.1,fraction_0p1,1135,risk_proxy,1,1
0.0,0.0,0.0,0.0,0.0018132713654570216,0.0013570000021445594,0.003126099991845876,0.003647313665156385,0.00027418854651761553,0.0002590000178770424,0.00041100000203186937,6.004313897417771e-05,0.015453875770535606,0.004063000005771755,0.018007999997848852,0.2098262199410445,0.0063664123354652226,0.004418999992594763,0.010985599990931405,0.012456267937130179,0.026975140088546498,0.0132220000068628,0.035073900008342124,0.21043148073833545,0.1,fraction_0p1,1135,risk_proxy,1,2
0.0,0.0,0.0,0.0,0.0015260070481688086,0.0013259999889214669,0.00180750000424723,0.0017207139180358943,0.0007342607935870026,0.0002499999993688107,0.00029099999210302485,0.013470399122655121,0.01794872246675332,0.0039180000044325425,0.01323539998452361,0.28260075823423764,0.005329977092402852,0.004347999976062056,0.010441699984653495,0.0024699444030785362,0.0329274008807547,0.01275300002134827,0.02734329999611873,0.32154913507956806,0.1,fraction_0p1,1135,risk_proxy,1,4
0.0,0.0,0.0,0.0,0.0014212810573541704,0.0012969999829692824,0.0015938000132109658,0.0009355276825720371,0.00025535418501226257,0.0002499999993688107,0.00028400000928741065,0.0001105172837496988,0.010303903083378812,0.003858000013678975,0.012347000000545448,0.15235434322967828,0.014315402643481197,0.0043830000038269645,0.007244299993658387,0.3229279903952883,0.038499537444473424,0.012414999986276598,0.022031199995353745,0.42331137402308683,0.1,fraction_0p1,1135,risk_proxy,1,8
0.0,0.0,0.0,0.0,0.0012172308363300353,0.001152000010051779,0.001298299997642971,0.0007457618400890292,0.00024138590310139027,0.0002350000158912735,0.00025930001470442216,0.00014465294614736995,0.005053737444919807,0.003559999981916917,0.010402899985706426,0.003688003711660707,0.004357599119021562,0.004234000016367645,0.0045402999973021,0.0011313579518490795,0.013407902202635394,0.01173999999082298,0.018834000005085727,0.004045177069320874,0.1,fraction_0p1,1135,risk_proxy,2,1
0.0,0.0,0.0,0.0,0.0014192017623033965,0.0013089999981730216,0.0016022999943743343,0.000946512255241405,0.0002516431710260916,0.0002499999993688107,0.00028200000201650255,1.998264587829462e-05,0.008699909251055085,0.003826000011031283,0.01249860000314129,0.0965059768113432,0.010645511012690335,0.004372000006469534,0.010098599994989852,0.1917213868143069,0.026726688986901226,0.012466999976368243,0.024171500001557412,0.23756349372847177,0.1,fraction_0p1,1135,risk_proxy,2,2
0.0,0.0,0.0,0.0,0.001377232599118779,0.001283000017338054,0.0015903000075923046,0.0007035530276577721,0.00024797180640134564,0.0002460000132487039,0.0002790000053209951,2.2357746452903533e-05,0.005709581498143809,0.0037780000070597453,0.012146099982146552,0.00406944553815552,0.013180044933859578,0.004295999985970411,0.007241099996235789,0.20853344268898166,0.03130505198259525,0.012222999998812156,0.023285400010308856,0.34496848554742404,0.1,fraction_0p1,1135,risk_proxy,2,4
0.0,0.0,0.0,0.0,0.0014486555060973978,0.001307000019323823,0.0016437999988738736,0.0009479468513542701,0.0002478634361511271,0.0002469999742515938,0.0002800000231673039,2.0231432574506864e-05,0.022257223788343487,0.003848000005746144,0.012514599987412108,0.4101736762400897,0.00474179911842907,0.004350000011754673,0.007042199999318655,0.0019368694080396163,0.03134370220256426,0.012400000002799061,0.023914199994123916,0.4105267657614459,0.1,fraction_0p1,1135,risk_proxy,2,8
0.0,0.0,0.0,0.0,0.0012883471369689243,0.0012650000087433,0.0014412000012953283,0.0003055954440312956,0.0002726775330296179,0.00026000000730164174,0.0002900000026784255,0.0002811678194897049,0.005520274889766626,0.003945999992538418,0.01156749999609019,0.0037691380129347696,0.004949051982160676,0.004653999980064327,0.005077300002653828,0.005117603478659841,0.01483293568252829,0.01306200002204605,0.02111219999108016,0.006501507918381037,0.1,fraction_0p1,1135,risk_proxy,3,1
0.0,0.0,0.0,0.0,0.0015068264318387412,0.0013030000047820067,0.0016702999914741663,0.0013316767361828286,0.0002573312779748344,0.0002440000059777958,0.0002780000158963958,0.00039339831929440644,0.011055418502466701,0.003872999997156512,0.01286740001660291,0.16596128302879795,0.011452992951956927,0.004318999998531581,0.010229299999764407,0.15825032801325192,0.027522179736067624,0.012544000014713674,0.028451899999026864,0.22970350776230983,0.1,fraction_0p1,1135,risk_proxy,3,2
