dataset_fraction,workload_name,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,authorization_execution_consistent,row_count_match,validation_passed,fault_injected_count,memory_delta_mb,state_missing_count
0.1,fraction_0p1,always,1,0.022632995333329593,50919.0095546394,0.018552717180654807,0.017179666675322853,0.02358139999879919,1.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,always,2,0.05149644100001183,23015.66325972174,0.03765055653470661,0.017726666669659608,0.027553966673584302,1.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,always,4,0.05098791399999906,22709.120392732584,0.04520902261395272,0.01769566666591042,0.02710333334334791,1.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,always,8,0.047870639000005134,23739.25455627048,0.043028032892805025,0.01793933333260611,0.02559990000274107,1.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,never,1,0.015211426666667194,75213.27807611715,0.01204678355343336,0.011313666666031471,0.013950099996880757,0.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,never,2,0.03678455066665265,30890.0426561748,0.01720755682827102,0.011043666669744804,0.0158220333285423,0.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,never,4,0.04187716966666244,28163.630599220473,0.024770102496151015,0.011146999999785598,0.016225666666969115,0.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,never,8,0.05104858333333103,23026.83451846833,0.025228381791107635,0.011655666668275444,0.022855633334491653,0.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,random,1,0.0224772873333355,50550.04072938711,0.018527907782565172,0.020034333327127268,0.022713633333637517,0.5048458149779735,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,random,2,0.047426568333340434,24097.750655109663,0.04009930014673873,0.021131000001635886,0.028790066680054825,0.5048458149779735,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,random,4,0.07239932499999213,19982.78646811135,0.0470202076357333,0.024762000009559415,0.036572300003475285,0.5048458149779735,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,random,8,0.06416074466667017,20299.737819830985,0.04003910866387899,0.022028999988303138,0.03685076667352404,0.5048458149779735,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,risk_proxy,1,0.017120766333334814,66473.53449149754,0.013829111013143339,0.012136333339185512,0.019558599999906317,0.19911894273127753,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,risk_proxy,2,0.04668763866665889,24875.22288145892,0.027074669603838447,0.012744333332648239,0.0292324333363088,0.19911894273127753,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,risk_proxy,4,0.045601988666665726,25662.337979996,0.029234435536045433,0.014725666678335378,0.02787733333207142,0.19911894273127753,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,risk_proxy,8,0.05105465499999203,24255.163138048363,0.029614387664899152,0.013123666661840616,0.026308299996458118,0.19911894273127753,0.0,1.0,1.0,1.0,0.0,,1135.0
0.25,fraction_0p25,always,1,0.05134614666667403,55259.762731448696,0.016824763247462904,0.016365666671921037,0.017420466669667196,1.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,always,2,0.15555163666668173,18871.341800374285,0.04436409810821169,0.020953000017698287,0.03418373333374802,1.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,always,4,0.1398598990000058,20773.701690707352,0.06269413840915462,0.018276333321409766,0.03217913333818007,1.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,always,8,0.13078356833332805,21838.962716596987,0.06628441158485898,0.017689666672519404,0.030605200000384972,1.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,never,1,0.04024331300000009,72985.63668773753,0.012944871108108767,0.010621333321599499,0.011504800007363274,0.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,never,2,0.09468970399998966,30097.33014370143,0.034906041475562456,0.010887666661574258,0.016028199996753752,0.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,never,4,0.08736662066666175,32500.25763068734,0.03789320679128149,0.01090400001165411,0.015351999991253237,0.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,never,8,0.17072447699999316,24330.786260806013,0.024156145576261268,0.012080666673834154,0.019110133327634064,0.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,random,1,0.05478215466667772,51790.5495432941,0.018041729761546253,0.019490666668768124,0.022125133335748615,0.5000587475032311,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,random,2,0.13918515900000253,20936.937269397848,0.05176436423449702,0.021643666665719746,0.035337199989271526,0.5000587475032311,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,random,4,0.1293505403333294,21957.646756355254,0.07311051921032959,0.02087366668016936,0.03194106665963165,0.5000587475032311,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,random,8,0.12685346300000333,22723.821037367354,0.11272949230420803,0.021185999997896943,0.0323164000045987,0.5000587475032311,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,risk_proxy,1,0.044066245666660585,64764.11577280504,0.014215514627871946,0.012263000002121771,0.019838533336269393,0.20514628128304546,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,risk_proxy,2,0.11846634099999657,24338.699923137505,0.029606258841442284,0.014551333322287974,0.0283617333290446,0.20514628128304546,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,risk_proxy,4,0.10934901433333266,26292.845080550218,0.04368098766289887,0.012957333344350749,0.02493646665773969,0.20514628128304546,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,risk_proxy,8,0.10745809733333545,26882.421707081627,0.054087768182468625,0.012348666672323816,0.02242113332613371,0.20514628128304546,0.0,1.0,1.0,1.0,0.0,,2837.0
0.5,fraction_0p5,always,1,0.11379903866665586,50001.463688226504,0.018679743318796044,0.016856333341290036,0.0263246666690975,1.0,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,always,2,0.3251350286666745,18367.663397278655,0.0606686024082738,0.019027000007554307,0.030690066673363017,1.0,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,always,4,0.3550121066666729,16859.707408336883,0.07652111013205737,0.01839666666114681,0.031044200000944027,1.0,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,always,8,0.342213504999999,16676.97102740465,0.08919356099842961,0.018067666654057273,0.036745733332092335,1.0,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,never,1,0.07450090399999947,77173.21563675132,0.011881534155605902,0.010567000003902649,0.011180566667690073,0.0,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,never,2,0.1989692183333318,29846.816876966244,0.03934276334790957,0.010837333339471419,0.017090000003842462,0.0,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,never,4,0.18651398366665717,30563.0670663534,0.04907418161520407,0.010989666662908348,0.014089666670239856,0.0,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,never,8,0.2906330739999987,23112.04558117094,0.040278745726989994,0.011307333333358352,0.018776233327836664,0.0,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,random,1,0.12457062133333352,46934.33994227702,0.020655866960201465,0.019611999997929768,0.021802933330642798,0.5020264317180617,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,random,2,0.3322927749999944,17932.51816460255,0.0528797439647662,0.022522333334033345,0.03777186666222103,0.5020264317180617,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,random,4,0.2465403050000153,23192.852180173202,0.08759694737154032,0.021292666663915345,0.030202233346206715,0.5020264317180617,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,random,8,0.32130465900000144,19321.88946124261,0.06874445679889714,0.021998333333309954,0.03880903333405665,0.5020264317180617,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,risk_proxy,1,0.08190762233332786,69286.46391551629,0.01318575577080208,0.011520666674869062,0.01859699999708179,0.20951541850220265,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,risk_proxy,2,0.3001986789999857,19950.55340396866,0.04368618355368322,0.01389833333102312,0.030827666672432013,0.20951541850220265,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,risk_proxy,4,0.21910727033333424,25973.455122204465,0.05286073891332016,0.012349333331940215,0.023348066669844552,0.20951541850220265,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,risk_proxy,8,0.28239174566666253,20793.21819467741,0.08763627453751081,0.013160666668454724,0.028856700003151072,0.20951541850220265,0.0,1.0,1.0,1.0,0.0,,5675.0
0.75,fraction_0p75,always,1,0.16015160966666522,53311.40566211644,0.017557198206871655,0.016405666656282847,0.01827199999221799,1.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,always,2,0.42676585066667866,20342.80706404919,0.04675815916851267,0.017816666646316055,0.029050866650474433,1.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,always,4,0.5380938729999798,16762.965421655797,0.08575778773630581,0.021038000018810028,0.03177220000149342,1.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,always,8,0.3665166033333094,23239.30875219103,0.13708754309111065,0.017919333326214353,0.0274616666691448,1.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,never,1,0.10177433400000761,83697.10691188724,0.010736426054233061,0.010433999989345466,0.011181666657951913,0.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,never,2,0.290304519333309,29363.74908675425,0.02904240745536654,0.01088466666487875,0.01502420000936884,0.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,never,4,0.2874263313333169,29671.901114924472,0.0547298883668239,0.010887000011431761,0.012619133349289767,0.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,never,8,0.3425172029999999,25854.104049590078,0.07370734034239422,0.01101433330556271,0.01595933333646826,0.0,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,random,1,0.1680161700000061,50727.89469633112,0.018451814714685908,0.019029333316211705,0.021894133321135694,0.5020556795489252,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,random,2,0.5051791666666645,17484.275380110837,0.05710890747473757,0.021988999994467424,0.03604913334053587,0.5020556795489252,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,random,4,0.5052269389999822,17339.810982667947,0.06450512678646272,0.02117300000274251,0.03543960000153371,0.5020556795489252,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,random,8,0.46495129333336155,18941.74876073676,0.10448315360802497,0.02186666666640728,0.03571966668118875,0.5020556795489252,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,risk_proxy,1,0.12562977033333786,67772.76277383842,0.013492526019095808,0.011684999994561926,0.018831133331786987,0.22271819570069307,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,risk_proxy,2,0.36586400333332375,23732.350724692133,0.044098885743432896,0.0127659999975549,0.028432533326849807,0.22271819570069307,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,risk_proxy,4,0.36598766700001306,24589.377545062554,0.06600538744671075,0.01227966667253592,0.023724533336159464,0.22271819570069307,0.0,1.0,1.0,1.0,0.0,,8513.0
0.75,fraction_0p75,risk_proxy,8,0.36114312333333487,23800.46379446523,0.08657751803129819,0.012371333336128979,0.02677039999904687,0.22271819570069307,0.0,1.0,1.0,1.0,0.0,,8513.0
1.0,fraction_1p0,always,1,0.21196678933334093,53632.55057593082,0.01740402584206159,0.016686666678348654,0.020272833334426348,1.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,always,2,0.7125478763333414,16066.762965355758,0.059768096907698215,0.01826533334300014,0.03412233331800962,1.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,always,4,0.5044089279999943,22510.88149196528,0.10610662684628074,0.017737999996825238,0.02425049999980426,1.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,always,8,0.5058889276666795,22455.79145123389,0.1410414008750395,0.017767333379955137,0.026825166685284785,1.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,never,1,0.1457574169999892,78516.61823078239,0.011561503244940754,0.010675333347383761,0.013399333321710097,0.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,never,2,0.49270888433331567,23625.177439087875,0.041930024373804685,0.01116666665742135,0.020491833330045967,0.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,never,4,0.5585453789999898,20742.143144566748,0.03901957163850376,0.011130666678127454,0.019350000011778928,0.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,never,8,0.49350388166665954,24140.96252381087,0.07064572078848477,0.011140333337304279,0.017915833334806546,0.0,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,random,1,0.2212660056666588,51354.91797686024,0.01820574040490761,0.019236999984665697,0.0220159999931487,0.49966229113440813,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,random,2,0.5904589783333071,19590.853874655106,0.06486377027012122,0.02162699998583169,0.03387583334794423,0.49966229113440813,0.0,1.0,1.0,1.0,0.0,,11351.0
1.0,fraction_1p0,random,4,0.6023481513333119,19044.74032697891,0.09733243238504456,0.021032999995895807,0.03279433333129115,0.49966229113440813,0.0,1.0,1.0,1.0,0.0,,11351.0
