comparison_scope,region,dataset_fraction,policy_mode,seed,workers,trace_hash_local,trace_hash_cloud,hash_match,unauthorized_invocations
local_to_cloud,asia-southeast1,0.1,random,1,1,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,1,0
local_to_cloud,asia-southeast1,0.1,random,1,2,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,1,0
local_to_cloud,asia-southeast1,0.1,random,1,4,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,1,0
local_to_cloud,asia-southeast1,0.1,random,1,8,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,1,0
local_to_cloud,asia-southeast1,0.1,random,2,1,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,1,0
local_to_cloud,asia-southeast1,0.1,random,2,2,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,1,0
local_to_cloud,asia-southeast1,0.1,random,2,4,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,1,0
local_to_cloud,asia-southeast1,0.1,random,2,8,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,1,0
local_to_cloud,asia-southeast1,0.1,random,3,1,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,1,0
local_to_cloud,asia-southeast1,0.1,random,3,2,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,1,0
local_to_cloud,asia-southeast1,0.1,random,3,4,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,1,0
local_to_cloud,asia-southeast1,0.1,random,3,8,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,1,1,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,1,2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,1,4,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,1,8,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,2,1,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,2,2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,2,4,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,2,8,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,3,1,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,3,2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,3,4,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.1,risk_proxy,3,8,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,2032f62d2e606a258a6225e1ea3f5a983f94496e61b3379e8a51cea30337d5f2,1,0
local_to_cloud,asia-southeast1,0.25,always,1,1,7b07c0c01f0b72dd397627243151dcb39d907e48a31b0073be0925d187f05bf9,7b07c0c01f0b72dd397627243151dcb39d907e48a31b0073be0925d187f05bf9,1,0
local_to_cloud,asia-southeast1,0.25,always,1,2,7b07c0c01f0b72dd397627243151dcb39d907e48a31b0073be0925d187f05bf9,7b07c0c01f0b72dd397627243151dcb39d907e48a31b0073be0925d187f05bf9,1,0
