dataset_fraction,workload_name,policy_mode,seed,workers,trace_hash,reference_hash,hash_match,record_trace_hash,reference_record_trace_hash,record_trace_hash_match,config_manifest_hash,config_bound_trace_hash,intervention_rate,reference_intervention_rate,intervention_rate_delta,unauthorized_invocations,authorization_execution_consistent,receipt_validation_passed,receipt_fault_injected_count,expected_row_count,observed_row_count,row_count_match,validation_passed,fault_injected_count
0.1,fraction_0p1,random,1,1,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,1,,,,0fc260c0ca99bba2ef23409c784c3f1b0e1f59413ecc7c2fce04bc740fd0cb98,,0.4889867841409692,0.4889867841409692,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,1,2,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,1,,,,77422c14ffee57b9c5c6bc73da93153367b66d1b5adae440fef37ccd08d6c7dc,,0.4889867841409692,0.4889867841409692,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,1,4,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,1,,,,235640c5c1755ef457ed2cc3c250ccd5056ec49de3fe1e7d0577eebd3162c5d4,,0.4889867841409692,0.4889867841409692,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,1,8,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,88788601d95807ccfacebb1ec66bb170078a34aa14bcf24ee2c8bf8605b73d85,1,,,,4cf7e818849c68164188eddf4099d616178d80dadb838fcf7af8e751aa79fc68,,0.4889867841409692,0.4889867841409692,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,2,1,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,1,,,,d6f34c70e59fc334030cb94b05ede18b5242c899a028ea61255440124b6304ff,,0.5118942731277533,0.5118942731277533,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,2,2,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,1,,,,44f009d359cd206a62d9101d6e6c4559ec7968efe6a2e585953a74ea7130607c,,0.5118942731277533,0.5118942731277533,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,2,4,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,1,,,,da6c58fb13cae5562a37c61c1f0f2bbe604c1c5b6395c4d8526ff3ba4497b066,,0.5118942731277533,0.5118942731277533,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,2,8,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,36091b3f7c42304c3427784934c6215d0c5c218c572389caa8449c7bb8a4fd43,1,,,,80e4e31b59c4755cdff68f373fca03f9bf395ad3ec18e28fc4f961d94ae2d471,,0.5118942731277533,0.5118942731277533,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,3,1,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,1,,,,94df1dd3fd0dc3baf9e081343cefb93b5e1bb822cbb2319c59e4fc1088375c3f,,0.5136563876651983,0.5136563876651983,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,3,2,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,1,,,,d68d73b535ec1a917fec96a67fa237b73dc0c5e7a9399558deb53ceed65473b8,,0.5136563876651983,0.5136563876651983,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,3,4,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,1,,,,180b3067bf22332d918916294248bba3925c9a6230f9c2a33ce2ade66bf2e19f,,0.5136563876651983,0.5136563876651983,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,random,3,8,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,f93edad76d213bc10de7dd0a110715ece96cdee9e265dda601c65917ed83e25c,1,,,,87efb3bafe46baeb7c16ae43c006a0af7605cf98a3ffbe690bb6a415475021c2,,0.5136563876651983,0.5136563876651983,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,1,1,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,4f8bdcbe481ff9aa3dc0efa66b608ca34924654db3d17cfbe4678dc86523445c,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,1,2,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,2fd8a65b8ab5faef1b972cc818820d7d5b55d28a9fc0d64c690d0dbe6b21a24c,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,1,4,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,df0086835b68e7b6be48e67a4e26c1a6dbeac3df6b288b8ed1ab48aa33747530,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,1,8,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,adfcbf97d12f7d0df88ab407e1ffcdc21ac8dcdc38ce43b6e5665372cf02dbb9,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,2,1,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,3ca292421878017eb68a031eedb960a97ce6a415783bce5e8cf7a111a7e4209f,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,2,2,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,fcdb51eece8156dd241a32d6e55485830126425dbb55abb8abd84103c17bfb7d,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,2,4,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,0d963a4bf21d32e9c798bd9bc203bcdacef7d4012e5c635e635705dc9c466b0c,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,2,8,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,24f0babb3db7a611ed5525bd58f62798af4ff8303cc93f99673470add3df2560,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,3,1,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,9c2deeed4abdff64f2ea0d23e35ac9d3a766ddef0a4c68ccdd73728aac789298,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,3,2,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,679a4c47107fbd5e7d1c32ca85c2a973d659da249c6c48f93d3357a1ea0b296f,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
0.1,fraction_0p1,always,3,4,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,,,,f847e2cf362600fd6bfa91215de635271a80c5cd6787411c8642c29af477d0e2,,1.0,1.0,0.0,0,1,1,0,1135,1135,1,1,0
