dataset_fraction,workload_name,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,authorization_execution_consistent,row_count_match,validation_passed,fault_injected_count,memory_delta_mb,state_missing_count
0.1,fraction_0p1,always,1,0.02205696800000112,51526.550288204504,0.017841085462569607,0.016853333335120624,0.02250133332921676,1.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,always,2,0.05451311500000126,21362.002088966874,0.03756953480171019,0.018769666662403022,0.030242999994811722,1.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,always,4,0.04582819833333455,25051.72309193372,0.03718266402326563,0.017089999995315946,0.023745999994654682,1.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,always,8,0.04808163233334047,24164.003371570798,0.03486484698965204,0.01883999999563457,0.026753666670723913,1.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,never,1,0.014278252666665972,79492.03517684444,0.011108729809147745,0.010923333334744711,0.011309900005566456,0.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,never,2,0.03347310600000242,33917.83330106787,0.01920077474302036,0.010939333331331605,0.014194333338461243,0.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,never,4,0.037175431666668146,31107.814032974904,0.03273491629952185,0.010916666667526442,0.01354333333646688,0.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,never,8,0.03865343366666707,29846.865466883424,0.02360171395015796,0.010946666672377129,0.014096333329878988,0.0,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,random,1,0.02215113833333267,51243.34872881806,0.01795316182077408,0.01989700000137873,0.021989666667820984,0.5048458149779735,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,random,2,0.07177192533332762,16049.646392568495,0.03193167988262494,0.02351999999916643,0.040263333334659514,0.5048458149779735,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,random,4,0.046515356333335,24426.16341502623,0.05401592305442826,0.02006699999886526,0.028158999999069078,0.5048458149779735,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,random,8,0.05053244266666942,22897.051181590065,0.04962828957413489,0.019983333326460222,0.026238000002839112,0.5048458149779735,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,risk_proxy,1,0.017243723666661975,65837.23512409069,0.013667707488966084,0.011996666666883963,0.01911600000189158,0.19911894273127753,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,risk_proxy,2,0.04449618666667258,26020.485903531964,0.029096714537366425,0.013733333337503003,0.024039000001134053,0.19911894273127753,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,risk_proxy,4,0.04158497499999688,27363.395158954092,0.039291185609358834,0.012536666664194248,0.025207566666078183,0.19911894273127753,0.0,1.0,1.0,1.0,0.0,,1135.0
0.1,fraction_0p1,risk_proxy,8,0.04024573300000137,28289.05912214931,0.022143730396246866,0.01240333333403972,0.02477343333045685,0.19911894273127753,0.0,1.0,1.0,1.0,0.0,,1135.0
0.25,fraction_0p25,always,1,0.05411990833332917,52454.804745467634,0.017535613323902525,0.016809999995833397,0.018100666667919534,1.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,always,2,0.11851004200000166,24045.722884480056,0.0468871723651934,0.01712999999862556,0.024026333334366722,1.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,always,4,0.1397063020000028,20322.023211861993,0.046961081071494416,0.018080000003806163,0.02908666666788423,1.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,always,8,0.14236629600000109,20911.351023019855,0.05864835471744881,0.017789666661845633,0.03141199999750669,1.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,never,1,0.0358401026666589,79160.26093995023,0.01112798883800029,0.010986999991284089,0.011323333334682198,0.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,never,2,0.1272357093333293,24607.923973381952,0.023140492891552875,0.012293333336780657,0.019527600000894044,0.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,never,4,0.10414101999999541,27341.90775449932,0.037566835037046824,0.01110999999790844,0.019267733331200042,0.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,never,8,0.10409099333333434,28055.44441796967,0.027294537304713925,0.011936666671393445,0.018031066668792537,0.0,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,random,1,0.05580908766667392,50847.984821643244,0.01806983491951938,0.01929666666929582,0.02168933333450695,0.5000587475032311,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,random,2,0.11451211933334093,24944.65081570877,0.04382073457872593,0.019813333338447592,0.02556046666484235,0.5000587475032311,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,random,4,0.18423329899999885,19203.73416065483,0.057318836094618714,0.02115999999811417,0.035927399997603957,0.5000587475032311,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,random,8,0.11825726899999722,24101.5466440785,0.08889727388076034,0.019887333337464952,0.027208000000200617,0.5000587475032311,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,risk_proxy,1,0.04336032099999917,65450.86337608881,0.01374471648450571,0.0120100000013205,0.019101066672533303,0.20514628128304546,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,risk_proxy,2,0.10706917433333274,26774.867518384748,0.04114702878631552,0.01254700000193528,0.02562533333521817,0.20514628128304546,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,risk_proxy,4,0.11451619933333272,25474.444913181793,0.03802707989670529,0.013709999999870584,0.026727666667625258,0.20514628128304546,0.0,1.0,1.0,1.0,0.0,,2837.0
0.25,fraction_0p25,risk_proxy,8,0.12853542166666423,22367.468856840092,0.047033849253799,0.014920000002878927,0.033202399996904795,0.20514628128304546,0.0,1.0,1.0,1.0,0.0,,2837.0
0.5,fraction_0p5,always,1,0.10684313766666283,53122.097847662575,0.017277283700413124,0.01680299999880693,0.018754333327327306,1.0,0.0,1.0,1.0,1.0,0.0,,5675.0
0.5,fraction_0p5,always,2,0.29579772066666504,20267.643462590542,0.045615486402471705,0.017493666670513146,0.029727233339353162,1.0,0.0,1.0,1.0,1.0,0.0,,5675.0
