policy,one_worker_runtime_median_s,one_worker_runtime_iqr_s,fastest_worker_counts_15,worker_2_runtime_median_s,worker_2_runtime_iqr_s,worker_2_median_paired_speedup,worker_2_ci95_lower,worker_2_ci95_upper,worker_4_runtime_median_s,worker_4_runtime_iqr_s,worker_4_median_paired_speedup,worker_4_ci95_lower,worker_4_ci95_upper,worker_8_runtime_median_s,worker_8_runtime_iqr_s,worker_8_median_paired_speedup,worker_8_ci95_lower,worker_8_ci95_upper
always,9.11795919999986,0.3488044000000627,4:13; 8:2,8.969323999999688,0.4865286000008382,1.038722591981784,1.0064185242667056,1.0520799749702845,8.417394899999636,0.2233982000007017,1.088053585275377,1.0676388663877108,1.1095827089993224,8.531695800000307,0.2096189500002765,1.0833793356407408,1.0631679678814163,1.1068552701510346
bc,9.105778099999952,0.5911081500003093,4:12; 8:3,8.964729100000113,0.640357849999873,1.0099117167151668,0.997638523546478,1.0208565556908302,8.423467399999936,0.2786461000009694,1.0810011682362564,1.0511045256127494,1.0899640406464193,8.476991300000009,0.2562792000007903,1.07492912019384,1.05280892927478,1.0857656856366422
bc_live,5.671244600000136,0.3526642000001629,1:14; 2:1,5.867856500000016,0.2976760999995349,0.95089038238083,0.9225802920035224,0.9603467248803896,6.062791199999992,0.4773258499999429,0.9484435873943804,0.9408309621047366,0.9677443370399526,5.886616699999649,0.4805049000001418,0.9482932310852258,0.9162199061399108,0.9763156219928814
never,8.996924700000818,0.4501896999995551,2:1; 4:10; 8:4,8.901573699999972,0.6086789499991045,1.020296081673429,1.0014388442613515,1.0554366245416058,8.281616299999769,0.2916905500010216,1.0980423209961327,1.075463253699138,1.1151535842104496,8.315544299999601,0.2000475499994536,1.0917647329534097,1.0732601364148315,1.1253727244422975
random,9.375718400000553,0.5915104500008965,4:14; 8:1,9.115306400000009,0.45916354999963,1.029255303986596,0.9973871522698556,1.0355726501732314,8.456914800000959,0.180498649999663,1.1019007269327288,1.0617115002741693,1.1182715092947193,8.589057400000456,0.2371751999999105,1.0862582123518465,1.0580315844750492,1.0960489741780808
risk_proxy,9.174574599999689,0.4871040500006529,4:13; 8:2,8.809794200000397,0.6189291500004401,1.0259373288114946,1.0005254653012643,1.0629855509032815,8.2849939000007,0.1891205500005526,1.107271939858702,1.0753941235934938,1.1175352900815048,8.446969499999796,0.1729269000002204,1.0899140076339149,1.0800781120941791,1.1075585825156158
