policy,repetitions,runtime_median_s,runtime_q1_s,runtime_q3_s,runtime_iqr_s,throughput_median_points_per_s,runtime_cv_percent
always,15,9.11795919999986,9.03767979999975,9.386484199999813,0.34880440000006274,1244.9057679486189,3.7383121215601154
bc,15,9.105778099999952,8.76647469999989,9.357582850000199,0.5911081500003093,1246.5711194960988,5.714119627356066
bc_live,15,5.671244600000136,5.438518949999889,5.791183150000052,0.35266420000016296,2001.5006935161512,3.6119174284632685
never,15,8.996924700000818,8.897651650000626,9.34784135000018,0.45018969999955516,1261.653329164683,3.978765000176125
random,15,9.375718400000553,8.933734249999361,9.525244700000258,0.5915104500008965,1210.6805596890936,3.601937139907876
risk_proxy,15,9.174574599999689,8.897082149999733,9.384186200000386,0.48710405000065293,1237.2235765569324,3.6603564626585277
