stage,scope,observations,median_run_level_mean_ms,iqr_run_level_mean_ms,median_run_level_p95_ms
State loading,Five non-checkpoint modes,75,0.7793315390807004,0.04364583296232816,0.9583500000189816
Policy selection,always/never/bc,45,0.0011011364558496,0.0006102986475005998,0.001200000042445
Policy selection,risk_proxy,15,0.0055460488077382,0.0004467756203707001,0.0061999999161344
Policy selection,random,15,0.011470293371648,0.0007012553942364001,0.0126499999169027
State loading,bc_live,15,0.4723066690135271,0.029443291335778,0.6059999996068655
BC inference,bc_live,15,0.0041101224561503,0.0002622720465581506,0.0043715576172331
Authorization gate,All six modes,90,0.00022494934199845002,2.1861516093974983e-05,0.0003000004653586
Generation branch,All six modes,90,0.00502760550164045,0.00791225000806385,0.011449999874457651
Trace-row logging,All six modes,90,0.004591419257844349,0.0004851466812687503,0.00489999956698735
