policy_mode,local_best_workers,local_runtime_seconds,local_throughput_points_per_second,asia-southeast1_best_workers,asia-southeast1_runtime_seconds,asia-southeast1_throughput_points_per_second,us-central1_best_workers,us-central1_runtime_seconds,us-central1_throughput_points_per_second,asia-southeast1_overhead_ms_per_point_vs_local,us-central1_overhead_ms_per_point_vs_local
always,4,8.331511700000192,1362.4178190855494,1,6.71612207599992,1690.1122212419025,1,6.820377052000367,1664.2774898597188,-0.14231253845478586,-0.13312788723458954
bc,4,8.33020900000065,1362.6308775685118,1,6.552582191000511,1732.2941810008524,1,6.784098788999927,1673.1772860390938,-0.15660530429038313,-0.13620916315749476
bc_live,2,5.758490699999129,1971.17623199456,1,3.5825398990000394,3168.4224935410484,1,3.175895265000236,3574.110306814277,-0.19169683737107648,-0.22752140207901445
never,4,8.164465900000323,1390.2930257813375,1,6.452483111999754,1759.167719306451,1,6.6802780960001655,1699.1807581777832,-0.15082219963003862,-0.1307539251167437
random,4,8.501518099999885,1335.1733027540286,1,6.76187615300023,1678.6761163857734,1,6.805432597000163,1667.9321759800434,-0.15325891524972732,-0.1494216811734403
risk_proxy,4,8.305671399999483,1366.6565233968572,1,6.62155633599923,1714.2495546384368,1,6.765358958999968,1677.8119341176637,-0.14836710985818444,-0.13569839141921547
