policy,one_worker_median_s,one_worker_iqr_s,best_workers,best_median_s,best_iqr_s,median_paired_speedup,ci95_lower,ci95_upper,paired_repetitions
always,9.11795919999986,0.3488044000000627,4,8.417394899999636,0.2233982000007017,1.088053585275377,1.0676388663877108,1.1095827089993224,15
bc,9.105778099999952,0.5911081500003093,4,8.423467399999936,0.2786461000009694,1.0810011682362564,1.0511045256127494,1.0899640406464193,15
bc_live,5.671244600000136,0.3526642000001629,1,5.671244600000136,0.3526642000001629,1.0,1.0,1.0,15
never,8.996924700000818,0.4501896999995551,4,8.281616299999769,0.2916905500010216,1.0980423209961327,1.075463253699138,1.1151535842104496,15
random,9.375718400000553,0.5915104500008965,4,8.456914800000959,0.180498649999663,1.1019007269327288,1.0617115002741693,1.1182715092947193,15
risk_proxy,9.174574599999689,0.4871040500006529,4,8.2849939000007,0.1891205500005526,1.107271939858702,1.0753941235934938,1.1175352900815048,15
