dataset_fraction,workload_name,workload_size,policy_mode,workers,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max,throughput_points_per_second_mean,throughput_points_per_second_std,throughput_points_per_second_min,throughput_points_per_second_max,speedup_vs_single_worker_mean,speedup_vs_single_worker_std,speedup_vs_single_worker_min,speedup_vs_single_worker_max,throughput_gain_vs_single_worker_mean,throughput_gain_vs_single_worker_std,throughput_gain_vs_single_worker_min,throughput_gain_vs_single_worker_max
0.75,fraction_0p75,8513,risk_proxy,4,0.33034,0.072575,0.262997,0.407206,26603.512546,5731.979223,20905.875428,32369.227446,0.305784,0.051802,0.274692,0.365584,0.305784,0.051802,0.274692,0.365584
0.75,fraction_0p75,8513,risk_proxy,8,0.357812,0.100593,0.298758,0.47396,24921.706267,6028.498525,17961.419975,28494.615378,0.290954,0.085866,0.20286,0.374404,0.290954,0.085866,0.20286,0.374404
1.0,fraction_1p0,11351,always,1,0.155457,0.0012,0.154483,0.156798,73019.697046,562.066896,72392.412668,73477.578366,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,fraction_1p0,11351,always,2,0.418683,0.005115,0.412891,0.42258,27113.947262,333.192423,26861.173335,27491.52379,0.371319,0.002705,0.368759,0.374148,0.371319,0.002705,0.368759,0.374148
1.0,fraction_1p0,11351,always,4,0.386503,0.045947,0.356459,0.439395,29630.233541,3303.331598,25833.259747,31843.747659,0.405883,0.046443,0.352966,0.439877,0.405883,0.046443,0.352966,0.439877
1.0,fraction_1p0,11351,always,8,0.463302,0.048393,0.430855,0.518924,24669.906579,2437.086095,21874.104517,26345.308523,0.338,0.035377,0.297698,0.363924,0.338,0.035377,0.297698,0.363924
1.0,fraction_1p0,11351,never,1,0.099063,0.002916,0.096197,0.102026,114650.295697,3371.227762,111255.845317,117997.810735,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,fraction_1p0,11351,never,2,0.411102,0.049953,0.353445,0.441343,27906.492538,3645.910066,25719.236838,32115.340217,0.243007,0.025404,0.22568,0.272169,0.243007,0.025404,0.22568,0.272169
1.0,fraction_1p0,11351,never,4,0.37011,0.074061,0.30183,0.448841,31485.727653,6159.179811,25289.556623,37607.237447,0.274292,0.049778,0.22049,0.318711,0.274292,0.049778,0.22049,0.318711
1.0,fraction_1p0,11351,never,8,0.306369,0.02158,0.293294,0.331277,37168.212583,2516.12766,34264.366598,38701.727684,0.323989,0.014434,0.307978,0.336002,0.323989,0.014434,0.307978,0.336002
1.0,fraction_1p0,11351,random,1,0.17415,0.008786,0.164097,0.18036,65293.127864,3385.413662,62935.101053,69172.290864,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,fraction_1p0,11351,random,2,0.509221,0.118855,0.432786,0.646154,23030.322233,4754.235496,17567.011471,26227.736981,0.352191,0.067415,0.275466,0.401941,0.352191,0.067415,0.275466,0.401941
1.0,fraction_1p0,11351,random,4,0.411479,0.027427,0.382641,0.437235,27668.841957,1868.726628,25960.861788,29664.866198,0.42476,0.040744,0.395835,0.471356,0.42476,0.040744,0.395835,0.471356
1.0,fraction_1p0,11351,random,8,0.391578,0.023921,0.369417,0.416937,29059.387974,1756.99787,27224.743121,30726.777205,0.44503,0.012877,0.432584,0.458299,0.44503,0.012877,0.432584,0.458299
1.0,fraction_1p0,11351,risk_proxy,1,0.13574,0.024334,0.119761,0.163746,85284.622468,13907.63443,69320.94664,94780.754271,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,fraction_1p0,11351,risk_proxy,2,0.37515,0.061793,0.313917,0.437489,30817.226551,5122.91239,25945.824862,36159.181951,0.362853,0.038262,0.320178,0.394096,0.362853,0.038262,0.320178,0.394096
1.0,fraction_1p0,11351,risk_proxy,4,0.365931,0.069363,0.320894,0.445808,31706.084927,5435.215786,25461.639419,35373.051537,0.38419,0.121165,0.268637,0.510279,0.38419,0.121165,0.268637,0.510279
1.0,fraction_1p0,11351,risk_proxy,8,0.396789,0.068554,0.339807,0.472866,29154.154103,4763.886536,24004.671088,33404.226454,0.353529,0.11456,0.261625,0.481878,0.353529,0.11456,0.261625,0.481878
