workload_size,policy_mode,workers,replay_runtime_seconds,throughput_points_per_second,policy_action_time_seconds,gating_time_seconds,aggregation_time_seconds,trace_hash_time_seconds,trace_hash_overhead_percent,intervention_rate,unauthorized_invocations
500000,random,4,0.00902,55544689.693469,0.005927,0.00092,0.000772,0.001173,12.944338,0.499996,0
500000,random,8,0.010081,50732184.145519,0.006475,0.000948,0.000889,0.001524,14.939697,0.499996,0
1000000,always,1,0.008231,121782545.976542,0.002803,0.001625,0.001455,0.00211,25.695291,1.0,0
1000000,always,2,0.008001,125674031.281936,0.002689,0.001533,0.001356,0.002121,26.528271,1.0,0
1000000,always,4,0.008361,120603154.064124,0.002867,0.001628,0.001311,0.002221,26.381262,1.0,0
1000000,always,8,0.008302,121619424.301131,0.002575,0.001659,0.00131,0.002345,28.362055,1.0,0
1000000,bc,1,0.008692,115240119.342066,0.003559,0.001257,0.001272,0.002213,25.475793,1.0,0
1000000,bc,2,0.009608,104401691.268828,0.003953,0.001478,0.001395,0.002277,23.918113,1.0,0
1000000,bc,4,0.009265,108680093.926652,0.003576,0.00172,0.001587,0.001981,21.365544,1.0,0
1000000,bc,8,0.010052,99570956.244965,0.00412,0.001663,0.001392,0.002472,24.606666,1.0,0
1000000,never,1,0.008921,118160548.443932,0.003115,0.001735,0.001542,0.00217,24.787881,0.0,0
1000000,never,2,0.009652,104129670.709383,0.002988,0.002309,0.001565,0.002497,25.962742,0.0,0
1000000,never,4,0.008371,120872688.602267,0.002876,0.00153,0.001452,0.002172,25.978814,0.0,0
1000000,never,8,0.010055,104811825.154003,0.002906,0.002318,0.00177,0.002497,24.216208,0.0,0
1000000,proxy,1,0.074331,13456235.625716,0.069487,0.001434,0.001193,0.001745,2.347233,0.22981,0
1000000,proxy,2,0.076667,13054729.031537,0.071598,0.001362,0.001205,0.001934,2.521867,0.22981,0
1000000,proxy,4,0.075654,13229968.504107,0.070455,0.001508,0.00122,0.001925,2.541266,0.22981,0
1000000,proxy,8,0.075855,13183863.88304,0.070342,0.001668,0.001396,0.00207,2.730278,0.22981,0
1000000,random,1,0.026513,37722480.416581,0.021276,0.001594,0.00126,0.001967,7.422459,0.5,0
1000000,random,2,0.018657,53643662.151242,0.011893,0.002092,0.001635,0.002531,13.564219,0.5,0
1000000,random,4,0.01669,59957813.204824,0.010649,0.001743,0.00146,0.002251,13.481589,0.5,0
1000000,random,8,0.015566,64266536.110106,0.00991,0.001759,0.001563,0.001959,12.582645,0.5,0
