workload_size,policy_mode,workers,runtime_seconds_mean,runtime_seconds_std,throughput_points_per_second_mean,throughput_points_per_second_std,intervention_rate_mean,intervention_rate_std,unauthorized_invocations_max,fault_injected_count_max,memory_delta_mb_max,state_missing_count_max
11351,always,1,0.155457,,73019.697046,,1.0,,0.0,0.0,,11351.0
11351,always,2,0.418683,,27113.947262,,1.0,,0.0,0.0,,11351.0
11351,always,4,0.386503,,29630.233541,,1.0,,0.0,0.0,,11351.0
11351,always,8,0.463302,,24669.906579,,1.0,,0.0,0.0,,11351.0
11351,never,1,0.099063,,114650.295697,,0.0,,0.0,0.0,,11351.0
11351,never,2,0.411102,,27906.492538,,0.0,,0.0,0.0,,11351.0
11351,never,4,0.37011,,31485.727653,,0.0,,0.0,0.0,,11351.0
11351,never,8,0.306369,,37168.212583,,0.0,,0.0,0.0,,11351.0
11351,random,1,0.17415,,65293.127864,,0.499662,,0.0,0.0,,11351.0
11351,random,2,0.509221,,23030.322233,,0.499662,,0.0,0.0,,11351.0
11351,random,4,0.411479,,27668.841957,,0.499662,,0.0,0.0,,11351.0
11351,random,8,0.391578,,29059.387974,,0.499662,,0.0,0.0,,11351.0
11351,risk_proxy,1,0.13574,,85284.622468,,0.229848,,0.0,0.0,,11351.0
11351,risk_proxy,2,0.37515,,30817.226551,,0.229848,,0.0,0.0,,11351.0
11351,risk_proxy,4,0.365931,,31706.084927,,0.229848,,0.0,0.0,,11351.0
11351,risk_proxy,8,0.396789,,29154.154103,,0.229848,,0.0,0.0,,11351.0
