workload_size,policy_mode,workers,replay_runtime_seconds,policy_action_time_seconds,gating_time_seconds,aggregation_time_seconds,trace_hash_time_seconds,trace_hash_overhead_percent,throughput_points_per_second
11351,always,1,0.000208,3.4e-05,4.4e-05,5.6e-05,4.3e-05,20.847075,54784698.445655
11351,always,2,0.000716,0.000531,4.8e-05,4.6e-05,4.3e-05,6.062746,15922822.657706
11351,always,4,0.000932,0.000729,4.8e-05,4.9e-05,4.1e-05,4.448288,12218432.17442
11351,always,8,0.001093,0.000894,4.4e-05,4.5e-05,4.1e-05,3.738978,10435690.072679
11351,bc,1,0.000203,4.7e-05,4.3e-05,4.7e-05,4.4e-05,21.526549,56147606.87747
11351,bc,2,0.000876,0.00067,5.4e-05,4.7e-05,4.1e-05,4.771267,13093257.469958
11351,bc,4,0.000875,0.000675,5.2e-05,4.9e-05,3.9e-05,4.443501,13044534.378721
11351,bc,8,0.001229,0.001031,4.7e-05,4.5e-05,4e-05,3.270315,9284095.836758
11351,never,1,0.000188,2.8e-05,5.1e-05,4.5e-05,4.3e-05,22.93716,60775159.620546
11351,never,2,0.000725,0.000526,5.7e-05,4.7e-05,4.2e-05,5.801468,16112875.675545
11351,never,4,0.000905,0.000716,4.7e-05,4.5e-05,4.6e-05,5.100178,12598428.930513
11351,never,8,0.001166,0.000967,4.7e-05,4.5e-05,4e-05,3.462421,9756673.212899
11351,proxy,1,0.001235,0.001064,3.9e-05,4.6e-05,4.4e-05,3.6456,9283475.817833
11351,proxy,2,0.002168,0.00197,4.5e-05,4.5e-05,4.3e-05,2.063352,5432511.471525
11351,proxy,4,0.002147,0.001946,4.4e-05,4.4e-05,4e-05,1.859158,5322286.454273
11351,proxy,8,0.0025,0.002305,4.3e-05,4.5e-05,4e-05,1.613909,4544857.004351
11351,random,1,0.000378,0.000199,4.6e-05,5.2e-05,5.2e-05,13.693902,30120286.223816
11351,random,2,0.001039,0.000852,4.6e-05,4.6e-05,4.2e-05,4.078621,11134077.262418
11351,random,4,0.00113,0.000935,4.9e-05,4.9e-05,4.3e-05,3.878809,10359286.961482
11351,random,8,0.001672,0.001469,5.2e-05,4.7e-05,4.1e-05,2.44344,6792299.051132
50000,always,1,0.000609,0.000105,0.000118,0.000157,0.000198,33.566431,84033821.810966
50000,always,2,0.001378,0.000836,0.000119,0.000169,0.000174,12.625845,37453196.22019
50000,always,4,0.001411,0.000973,0.000107,0.000123,0.000138,9.763905,36399365.67081
50000,always,8,0.001744,0.001338,0.000106,0.000116,0.000134,7.809229,28855336.545036
50000,bc,1,0.000516,0.000157,8.2e-05,0.000114,0.00014,27.980108,102203904.173288
50000,bc,2,0.001374,0.00088,0.000138,0.000122,0.000164,11.880733,38386745.903953
50000,bc,4,0.001722,0.001145,0.000142,0.000143,0.000211,11.905875,30307278.139868
50000,bc,8,0.002081,0.001508,0.000135,0.000153,0.000183,8.693685,24756042.919338
50000,never,1,0.000362,5.3e-05,7.4e-05,9.2e-05,0.000124,34.013361,139787313.580521
50000,never,2,0.000812,0.000484,9.1e-05,9.2e-05,0.000108,13.636176,62728323.875273
50000,never,4,0.000994,0.000667,8.6e-05,9.1e-05,0.000111,11.565525,51748071.541597
50000,never,8,0.001369,0.001004,8.6e-05,0.000104,0.000123,9.009442,37159704.854033
50000,proxy,1,0.004557,0.004158,0.000107,0.000121,0.000141,3.070862,10997941.445482
50000,proxy,2,0.00564,0.005161,0.000132,0.000117,0.000153,2.733127,8937258.491667
50000,proxy,4,0.006188,0.005691,0.000106,0.000162,0.000157,2.581182,8186938.715459
50000,proxy,8,0.006279,0.005909,8.5e-05,0.000102,0.000125,1.99134,7964010.242363
50000,random,1,0.001269,0.000926,7.6e-05,0.000107,0.000123,9.705224,39563718.611634
50000,random,2,0.001633,0.001213,9.9e-05,0.000122,0.000151,9.049344,31972175.898601
50000,random,4,0.002685,0.002306,9e-05,9.9e-05,0.000124,5.742193,24303414.170987
50000,random,8,0.002864,0.002457,9.2e-05,0.000111,0.000136,4.7512,17850730.530505
100000,always,1,0.000746,0.000193,0.000117,0.000168,0.000235,31.648794,134984595.055783
100000,always,2,0.001114,0.000519,0.00013,0.000182,0.000241,21.694468,90229234.785707
100000,always,4,0.001219,0.000649,0.000127,0.000171,0.000224,18.523428,82710662.849658
100000,always,8,0.00159,0.001001,0.00013,0.000171,0.000229,14.414728,63025337.981649
100000,bc,1,0.000857,0.000338,0.000122,0.000165,0.000214,25.893515,122391975.857982
100000,bc,2,0.001156,0.000616,0.000127,0.000167,0.000213,18.417851,86918481.730701
