dataset_fraction,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,memory_delta_mb
0.25,always,1,1.0222089666676766,2776.184758085272,0.2534240159858708,0.3312733339650245,1.0,0.0,
0.25,always,2,1.1524390333336971,2462.596896576861,0.677816425810687,0.7825066670193336,1.0,0.0,
0.25,always,4,1.168124566665938,2429.20168603666,1.4999324168870292,1.9891000001128607,1.0,0.0,
0.25,always,8,1.1554390333343083,2455.343742879828,3.0694783691690923,4.48111333316774,1.0,0.0,
0.25,bc,1,1.0593234000007214,2683.2257905324423,0.2631501351053253,0.3314600008404037,1.0,0.0,
0.25,bc,2,1.1564512666664086,2453.5126301992354,0.6779886969583169,0.7656400002209315,1.0,0.0,
0.25,bc,4,1.1787959666677732,2407.475086369032,1.514112795193702,2.02169999902253,1.0,0.0,
0.25,bc,8,1.181924366667469,2400.57971623998,3.1614912936207435,4.665973333127718,1.0,0.0,
0.25,never,1,0.987862666666236,2871.992003657513,0.240997015621597,0.3002866668490847,0.0,0.0,
0.25,never,2,1.1340710999999526,2502.5641036398533,0.6643261073870258,0.7472266671053754,0.0,0.0,
0.25,never,4,1.1433363333332334,2481.369779597921,1.4680711314976742,1.951713332770547,0.0,0.0,
0.25,never,8,1.1168884666682668,2540.5181121259143,2.971169404290754,4.309919999650446,0.0,0.0,
0.25,proxy,1,1.003552600000451,2828.8209471931164,0.246757948532058,0.3197466670826542,0.2051462812830454,0.0,
0.25,proxy,2,1.1064180333317684,2564.899919627245,0.6451919280750005,0.7343333340638006,0.2051462812830454,0.0,
0.25,proxy,4,1.1751897333330514,2414.2489422116982,1.4978784984321958,2.014220000031249,0.2051462812830454,0.0,
0.25,proxy,8,1.1536687666666694,2459.111398697941,3.07497784041018,4.462119999516289,0.2051462812830454,0.0,
0.25,random,1,1.0628068000005442,2670.2164684461773,0.2639500293702132,0.3561133319938863,0.4858418517213018,0.0,
0.25,random,2,1.181633233332832,2402.861955322344,0.6995298436946108,0.7818866669064543,0.4858418517213018,0.0,
0.25,random,4,1.1884748333335058,2387.680137760942,1.525435307235754,2.032366665904798,0.4858418517213018,0.0,
0.25,random,8,1.1712404666662526,2422.303451008916,3.128238350379416,4.580726666608824,0.4858418517213018,0.0,
0.5,always,1,2.075903233332307,2734.5230532487603,0.257087782684853,0.3254666662542149,1.0,0.0,
0.5,always,2,2.305906366667235,2462.4722338533834,0.6805870249623327,0.7987466667448948,1.0,0.0,
0.5,always,4,2.346730833333519,2418.285225685648,1.507243154204718,2.0119733328707903,1.0,0.0,
0.5,always,8,2.297201600000941,2470.4106699462704,3.074516740110214,4.487076665949037,1.0,0.0,
0.5,bc,1,2.0608480666669493,2753.928714298087,0.2548541321530551,0.3198400012479397,1.0,0.0,
0.5,bc,2,2.3165156999990963,2449.934185913213,0.6839409632693426,0.7878199990955181,1.0,0.0,
0.5,bc,4,2.347254766665477,2417.8984656745865,1.512553280473891,2.0231299988760534,1.0,0.0,
0.5,bc,8,2.318289600002269,2448.2687434169543,3.1128304376014837,4.512536667001162,1.0,0.0,
0.5,never,1,1.9853568999981992,2858.7868482923964,0.2428444111515872,0.3092400003273118,0.0,0.0,
0.5,never,2,2.2147803666654604,2562.7546237721403,0.6487936387742441,0.7657733334781369,0.0,0.0,
0.5,never,4,2.285186933332928,2483.9186796490726,1.4588985668027583,1.9780500004950836,0.0,0.0,
0.5,never,8,2.2407812333331094,2532.725834452905,2.999946760648257,4.406499999701434,0.0,0.0,
0.5,proxy,1,2.0232662666676333,2805.6241392714733,0.247340211461,0.3073866656147099,0.2095154185022026,0.0,
0.5,proxy,2,2.284802033333108,2484.00160601457,0.6697930279074605,0.771520000610811,0.2095154185022026,0.0,
0.5,proxy,4,2.294820866666365,2473.359640756737,1.4695494273030345,1.974779999727616,0.2095154185022026,0.0,
0.5,proxy,8,2.2533010666666087,2518.7727014664883,3.012326549199391,4.383963334233462,0.2095154185022026,0.0,
0.5,random,1,2.0641866000005398,2749.5444682638413,0.256784293697511,0.3143399997497909,0.4975624082232011,0.0,
0.5,random,2,2.333950399999594,2432.232282683457,0.6902985726909682,0.7865000008071851,0.4975624082232011,0.0,
0.5,random,4,2.36587613333298,2399.440824991944,1.5228387136330277,2.029366666344383,0.4975624082232011,0.0,
0.5,random,8,2.351193633331908,2413.8102314208377,3.159433298090344,4.5932500001072185,0.4975624082232011,0.0,
0.75,always,1,3.0689560000003744,2773.9237063129417,0.2529971964409645,0.3147133335005492,1.0,0.0,
0.75,always,2,3.475897499999216,2449.842477093049,0.6794153294900225,0.8074533330121388,1.0,0.0,
0.75,always,4,3.501551933333152,2431.865137899108,1.503927236768786,2.0099266669906988,1.0,0.0,
0.75,always,8,3.468237066666916,2454.6402105238144,3.1055200086423227,4.5140066657040725,1.0,0.0,
0.75,bc,1,3.092977033332621,2752.6863936702644,0.2549858843271452,0.3231200008788921,1.0,0.0,
0.75,bc,2,3.4720553000006475,2452.527005853064,0.6819211519648333,0.8081933325835658,1.0,0.0,
0.75,bc,4,3.516559000000901,2421.110830787117,1.5125810955710008,2.0004000007854,1.0,0.0,
0.75,bc,8,3.494155200000629,2436.4495892871496,3.131427941593928,4.525940000651947,1.0,0.0,
0.75,never,1,3.18897693333444,2673.295415906085,0.2602407690121055,0.3669599997616994,0.0,0.0,
0.75,never,2,3.4656297000013487,2460.8027244914,0.6763484709520161,0.8108200000909466,0.0,0.0,
0.75,never,4,3.4970377666674417,2435.591115311999,1.49709365285354,2.005853333685081,0.0,0.0,
0.75,never,8,3.390333766667027,2511.168028864967,3.0317726770848075,4.399253334122476,0.0,0.0,
0.75,proxy,1,3.0910109000008865,2754.3889426359765,0.2530608324326329,0.3300466666890618,0.222718195700693,0.0,
0.75,proxy,2,3.3602911999987555,2533.851166666309,0.6563238497840687,0.7757666666293516,0.222718195700693,0.0,
0.75,proxy,4,3.4748288666681524,2450.090082620293,1.488418783044965,1.9966533334809355,0.222718195700693,0.0,
0.75,proxy,8,3.4021147999992536,2502.457448086417,3.042136829957772,4.417753333594494,0.222718195700693,0.0,
0.75,random,1,3.155408366666961,2698.336039830118,0.261477555896895,0.3263666663163651,0.5031911977759504,0.0,
0.75,random,2,3.5337658999997075,2409.4525320008,0.6957066917272533,0.8243266674980987,0.5031911977759504,0.0,
0.75,random,4,3.612535399999615,2356.604594315337,1.552941579543082,2.084899999317713,0.5031911977759504,0.0,
0.75,random,8,3.60689146666482,2362.1311267706524,3.236348819459872,4.7247400000439175,0.5031911977759504,0.0,
1.0,always,1,4.083265566667251,2780.659852830693,0.2523453411072987,0.305833333186456,1.0,0.0,
1.0,always,2,4.596438933332441,2470.601113819398,0.676452336067927,0.7574499995826045,1.0,0.0,
1.0,always,4,4.684522533332104,2423.5180973355696,1.5090973012757811,1.990783333894797,1.0,0.0,
1.0,always,8,4.641076633333189,2445.803440429923,3.114860332423549,4.510233333955209,1.0,0.0,
1.0,bc,1,4.054156733333609,2799.8708966380823,0.2507766922193073,0.3079833325803823,1.0,0.0,
1.0,bc,2,4.585452100000111,2476.7166693427826,0.6753586115768481,0.7791166687335741,1.0,0.0,
1.0,bc,4,4.692349899999196,2419.1484647323678,1.5116432531660988,1.9950666658890743,1.0,0.0,
