dataset_fraction,workload_name,policy_mode,seed,workers,runtime_seconds,throughput_points_per_second,speedup_vs_single_worker,throughput_gain_vs_single_worker
0.1,fraction_0p1,always,1,1,0.6792190229998596,1671.0368254810123,1.0,1.0
0.1,fraction_0p1,always,1,2,1.0874555729997155,1043.7207994337962,0.6245947327542339,0.6245947327542338
0.1,fraction_0p1,always,1,4,1.478108661999613,767.8731808962885,0.4595190059173318,0.45951900591733175
0.1,fraction_0p1,always,1,8,1.6046722379996936,707.3095508992141,0.42327586089888425,0.42327586089888425
0.1,fraction_0p1,always,2,1,0.6481637180004327,1751.1007920983975,1.0,1.0
0.1,fraction_0p1,always,2,2,1.063371662999998,1067.359644320334,0.6095363837059798,0.6095363837059797
0.1,fraction_0p1,always,2,4,1.5177549939999153,747.8150323912315,0.4270542482566648,0.4270542482566648
0.1,fraction_0p1,always,2,8,1.552359465000336,731.1450895168499,0.4175345547303971,0.417534554730397
0.1,fraction_0p1,always,3,1,0.7218554840001161,1572.3368806599208,1.0,1.0
0.1,fraction_0p1,always,3,2,1.0636958079994656,1067.0343828228852,0.6786296219007745,0.6786296219007745
0.1,fraction_0p1,always,3,4,1.5354581609999514,739.1930492334893,0.4701238381708917,0.47012383817089176
0.1,fraction_0p1,always,3,8,1.5360938359999636,738.8871522039145,0.4699292888772019,0.469929288877202
0.1,fraction_0p1,bc,1,1,0.5687754000000496,1995.515277207666,1.0,1.0
0.1,fraction_0p1,bc,1,2,1.06524811700001,1065.4794708264096,0.5339370151639932,0.5339370151639932
0.1,fraction_0p1,bc,1,4,1.5539620609997655,730.391061973405,0.3660162717448321,0.3660162717448321
0.1,fraction_0p1,bc,1,8,1.5192386130001978,747.0847504057299,0.37438187466604067,0.3743818746660407
0.1,fraction_0p1,bc,2,1,0.5857899900001939,1937.5544467730222,1.0,1.0
0.1,fraction_0p1,bc,2,2,1.097877832999984,1033.812657368788,0.533565732354305,0.533565732354305
0.1,fraction_0p1,bc,2,4,1.5649030980002863,725.284524933436,0.3743298807119409,0.3743298807119409
0.1,fraction_0p1,bc,2,8,1.5237777709999136,744.8592712145978,0.38443269166198324,0.3844326916619833
0.1,fraction_0p1,bc,3,1,0.5851286150000305,1939.7444782288433,1.0,1.0
0.1,fraction_0p1,bc,3,2,1.101470124000116,1030.4410217483853,0.531225134709118,0.5312251347091181
0.1,fraction_0p1,bc,3,4,1.5337718650007446,740.0057504637099,0.38149651089065095,0.3814965108906509
0.1,fraction_0p1,bc,3,8,1.5641620870001134,725.628123474596,0.3740843866905388,0.3740843866905388
0.1,fraction_0p1,bc_live,1,1,0.6884213009998348,1648.699710993214,1.0,1.0
0.1,fraction_0p1,bc_live,1,2,0.3998352610005895,2838.669098767471,1.7217623560189699,1.7217623560189699
0.1,fraction_0p1,bc_live,1,4,0.38165265699990414,2973.90828855224,1.8037901436646036,1.8037901436646036
0.1,fraction_0p1,bc_live,1,8,0.38412980300017807,2954.7303831550757,1.7921580039430465,1.7921580039430463
0.1,fraction_0p1,bc_live,2,1,0.3644511459997375,3114.272001770074,1.0,1.0
0.1,fraction_0p1,bc_live,2,2,0.3852819070007172,2945.8948872932338,0.9459337160077416,0.9459337160077415
0.1,fraction_0p1,bc_live,2,4,0.44947175299967057,2525.1864937568876,0.8108432700552922,0.8108432700552922
0.1,fraction_0p1,bc_live,2,8,0.383165901999746,2962.1633712092485,0.951157564119521,0.9511575641195211
0.1,fraction_0p1,bc_live,3,1,0.3541937070003769,3204.4612243740185,1.0,1.0
0.1,fraction_0p1,bc_live,3,2,0.3962911239996174,2864.05607207366,0.8937714865415932,0.8937714865415931
0.1,fraction_0p1,bc_live,3,4,0.4230710530000579,2682.7644953526155,0.837196741513602,0.8371967415136019
0.1,fraction_0p1,bc_live,3,8,0.42727059700064274,2656.3962228327464,0.8289681281294535,0.8289681281294534
0.1,fraction_0p1,never,1,1,0.6070902520004893,1869.5737516126107,1.0,1.0
0.1,fraction_0p1,never,1,2,1.1039520539998193,1028.1243609155745,0.5499244734414785,0.5499244734414785
0.1,fraction_0p1,never,1,4,1.4923624779994498,760.5390893514668,0.406798121066612,0.406798121066612
0.1,fraction_0p1,never,1,8,1.4634347720002552,775.5726607812228,0.41483929698534144,0.41483929698534144
0.1,fraction_0p1,never,2,1,0.6663729430001695,1703.2504274407663,1.0,1.0
0.1,fraction_0p1,never,2,2,1.0660644379995574,1064.663597755684,0.6250775462040561,0.6250775462040561
0.1,fraction_0p1,never,2,4,1.4700559599996268,772.0794519960234,0.4532976710630381,0.45329767106303803
0.1,fraction_0p1,never,2,8,1.4718759240004147,771.1247813030199,0.4527371717508858,0.4527371717508858
0.1,fraction_0p1,never,3,1,0.661898475000271,1714.76448861668,1.0,1.0
0.1,fraction_0p1,never,3,2,1.0537528529994233,1077.1026591001041,0.6281344559269565,0.6281344559269565
0.1,fraction_0p1,never,3,4,1.485006975000033,764.306174386807,0.44572078525102976,0.4457207852510297
0.1,fraction_0p1,never,3,8,1.4607297470001868,777.0088904746971,0.45312863406771325,0.45312863406771325
0.1,fraction_0p1,random,1,1,0.7275089329996263,1560.1183002938922,1.0,1.0
0.1,fraction_0p1,random,1,2,1.1596139579996816,978.7740067891729,0.6273716593189076,0.6273716593189076
0.1,fraction_0p1,random,1,4,1.5412981640001817,736.3922351365794,0.4720105103554386,0.47201051035543856
0.1,fraction_0p1,random,1,8,1.541106323999884,736.4839027161669,0.4720692671686688,0.4720692671686688
0.1,fraction_0p1,random,2,1,0.6539817980001317,1735.5223088330838,1.0,1.0
0.1,fraction_0p1,random,2,2,1.0682567800004108,1062.4786299035363,0.6121953169348293,0.6121953169348292
0.1,fraction_0p1,random,2,4,1.5991941140000563,709.7324771669089,0.40894460045524444,0.4089446004552445
0.1,fraction_0p1,random,2,8,1.5629601489999914,726.186141550821,0.41842512646183616,0.4184251264618362
0.1,fraction_0p1,random,3,1,0.7276224490005916,1559.8749070468511,1.0,1.0
0.1,fraction_0p1,random,3,2,1.070900332999372,1059.855866158056,0.6794492695344211,0.6794492695344211
0.1,fraction_0p1,random,3,4,1.553054826999869,730.8177279179183,0.46851047133099893,0.4685104713309989
0.1,fraction_0p1,random,3,8,1.5206737379994593,746.3796944985471,0.4784868909210099,0.4784868909210099
0.1,fraction_0p1,risk_proxy,1,1,2.2874735989998953,496.18059001696565,1.0,1.0
0.1,fraction_0p1,risk_proxy,1,2,1.1659234219996506,973.4773129897206,1.9619415442196861,1.9619415442196864
0.1,fraction_0p1,risk_proxy,1,4,1.4665017890001764,773.9506412561652,1.5598164394735834,1.5598164394735834
0.1,fraction_0p1,risk_proxy,1,8,1.5277067420001913,742.9436349243118,1.4973250664620088,1.4973250664620088
0.1,fraction_0p1,risk_proxy,2,1,0.6484905329998583,1750.218302724626,1.0,1.0
0.1,fraction_0p1,risk_proxy,2,2,1.1434657139998308,992.596442642589,0.5671272212714147,0.5671272212714148
0.1,fraction_0p1,risk_proxy,2,4,1.4669026880001184,773.7391234502315,0.44208149477452313,0.44208149477452313
0.1,fraction_0p1,risk_proxy,2,8,1.5251847630006523,744.1721341137701,0.42518817964324296,0.42518817964324296
0.1,fraction_0p1,risk_proxy,3,1,0.5555172169997604,2043.140995935126,1.0,1.0
0.1,fraction_0p1,risk_proxy,3,2,1.0858368910003264,1045.2766980079136,0.5116028213850706,0.5116028213850706
0.1,fraction_0p1,risk_proxy,3,4,1.4739764679998189,770.0258617698227,0.3768833689411578,0.37688336894115776
0.1,fraction_0p1,risk_proxy,3,8,1.474837841000408,769.5761313190269,0.37666325175311716,0.37666325175311716
0.25,fraction_0p25,always,1,1,1.6849031530000502,1683.7763018892726,1.0,1.0
0.25,fraction_0p25,always,1,2,2.7795942849998028,1020.6525518166409,0.6061687355211157,0.6061687355211157
