dataset_fraction,workload_name,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,fault_injected_count,memory_delta_mb,state_missing_count
0.1,fraction_0p1,always,1,0.6830794083334695,1664.8248327464435,0.5986526425737463,0.43005299994547386,0.5036930666089271,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,always,2,1.0715076813330597,1059.3716088590052,1.8398400478678993,1.0601906666731036,1.3655966668011386,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,always,4,1.5104406056664932,751.6270875070031,5.279353871660753,2.5199290003001806,35.86091686671955,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,always,8,1.5643751796666645,725.7805975399929,10.862421469603127,5.166400333412942,58.66017810000509,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,1,0.579898001666758,1957.604734069844,0.5077385817827921,0.43481999970632995,0.5501430998568442,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,2,1.08819869133337,1043.2443833145278,1.8813949903034157,1.0767090006993385,1.4342599000580474,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,4,1.5508790080002655,731.893779123517,5.427001360056802,2.5573396666610884,42.40740753336159,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,8,1.5357261570000749,739.1907150316412,10.753254570340786,5.179492333202991,58.33611886646395,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,1,0.46902205133331637,2655.810979045769,0.013313296314313694,0.012850000227141814,0.01362516641165712,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,2,0.39380276400030806,2882.873352711455,0.02581757033916796,0.013782333553535864,0.01882670009460222,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,4,0.41806515433321084,2727.2864258872473,0.04956396064639121,0.013859666675368013,0.019678366758550205,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,8,0.39818876733352226,2857.7633257323564,0.030792720998615495,0.013713333525326258,0.01869986654128297,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,never,1,0.6451205566669765,1762.529555890019,0.5653065970613712,0.4106049997668985,0.4850322998512031,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,never,2,1.0745897816662666,1056.6302059237876,1.8455986798804258,1.022421333497429,1.3328850335104407,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,never,4,1.4824751376663698,765.6415719114324,5.185860992355194,2.4461056670285566,31.947280466920333,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,never,8,1.4653468143336188,774.5687775196466,10.274336896620188,5.038517333256702,58.23202619976655,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,random,1,0.7030377266667832,1618.5051720579424,0.6161948384762366,0.4485539999829295,0.5898036334353188,0.5077826725403818,0.0,0.0,,0.0
0.1,fraction_0p1,random,2,1.0995903569998215,1033.7028342835883,1.9016435882587863,1.0835499997483566,1.42679023368449,0.5077826725403818,0.0,0.0,,0.0
0.1,fraction_0p1,random,4,1.5645157016667024,725.6474800738023,5.472450893676296,2.5711340000877194,51.04420623329131,0.5077826725403818,0.0,0.0,,0.0
0.1,fraction_0p1,random,8,1.5415800703331115,736.349912921845,10.795558667847331,5.236315666782805,58.50167973358111,0.5077826725403818,0.0,0.0,,0.0
0.1,fraction_0p1,risk_proxy,1,1.1638271163331713,1429.846629558906,1.0221053673902645,0.8796743331913603,1.2822411000949312,0.19911894273127753,0.0,0.0,,0.0
