configuration_id,execution_instance_id,dataset_fraction,workload_name,decision_points,policy,policy_mode,policy_seed,workers,repetition,runtime_seconds,total_runtime_seconds,throughput_points_per_second,trace_hash,reference_hash,hash_match,unauthorized_invocations,authorization_execution_consistent,row_count_match,validation_passed,fault_injected_count,intervention_rate,state_loading_ms_mean,state_loading_ms_median,state_loading_ms_p95,state_loading_ms_std,policy_inference_ms_mean,policy_inference_ms_median,policy_inference_ms_p95,policy_inference_ms_std,gating_ms_mean,gating_ms_median,gating_ms_p95,gating_ms_std,generation_stub_ms_mean,generation_stub_ms_median,generation_stub_ms_p95,generation_stub_ms_std,logging_ms_mean,logging_ms_median,logging_ms_p95,logging_ms_std,total_latency_ms_mean,total_latency_ms_median,total_latency_ms_p95,total_latency_ms_std,workload_fraction
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-2d897e7a6a62479488cde6aa7871b5ea,0.1,fraction_0.1,1135,always,always,1,1,1,0.018035999999483465,0.018035999999483465,62929.696165031346,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.00035251099536798503,0.00030000046535860747,0.0005999991117278114,0.0006710307590805337,0.00017638766369115693,0.00019999970390927047,0.00030000046535860747,6.0593154725121286e-05,0.009420264342677726,0.0070000005507608876,0.015499999790336005,0.029171377470783393,0.002738942725454162,0.0024000000848900527,0.005099998816149309,0.0014934508329713671,0.014845903100377146,0.011800000720540993,0.025800000003073364,0.029933116341170882,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-79beafcdbdeb4ed7a5c42c03d8ce1f19,0.1,fraction_0.1,1135,always,always,1,1,2,0.01713200000085635,0.01713200000085635,66250.2918481944,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.00036854624917724533,0.00030000046535860747,0.0004000012268079445,0.000884415788864291,0.00020308372271524142,0.00019999970390927047,0.000200001522898674,0.0009285293365429486,0.008264229117058288,0.0068999997893115506,0.02239000023109837,0.004972176991205491,0.0028864317022300927,0.002399998265900649,0.002999999196617864,0.0030133112740664586,0.014042643154061006,0.011500000255182385,0.031929999386193224,0.007071073800962956,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-91a20b4a12e147a596b9fbeaebc6e19b,0.1,fraction_0.1,1135,always,always,1,1,3,0.01809049999974377,0.01809049999974377,62740.11221448141,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.00046132158405723926,0.00030000046535860747,0.0004000012268079445,0.003539697058779431,0.00022784138489658184,0.00019999970390927047,0.000200001522898674,0.0012617099735071657,0.00844017621029747,0.007200000254670158,0.012059999062330453,0.0056526075303562785,0.003184933937334205,0.0024000000848900527,0.0032999996619764715,0.010700663736732357,0.014900352411861387,0.012000000424450263,0.027589999808697016,0.01966575320500935,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-2d4677ef8ed74c8eb4ad3fd933d46740,0.1,fraction_0.1,1135,always,always,1,1,4,0.017694699999992736,0.017694699999992736,64143.50059625006,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0003503084059400558,0.00030000046535860747,0.0004000012268079445,0.0007498942207005438,0.00025303965439047615,0.00019999970390927047,0.000200001522898674,0.0011791832388988695,0.008555947129085398,0.007200000254670158,0.02183000015065772,0.005290391726068038,0.0030067841168405847,0.002499999027349986,0.0030000010156072676,0.0030668524334073973,0.014401674014849522,0.012099999366910197,0.03239999987272313,0.007290406900427565,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-e60870921ca6407188795cf3f84f0158,0.1,fraction_0.1,1135,always,always,1,1,5,0.017155499999716994,0.017155499999716994,66159.54067317907,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0003251101156119216,0.00030000046535860747,0.0004000012268079445,5.2045094762191957e-05,0.0002090748904518053,0.00019999970390927047,0.000200001522898674,0.0008857444613218273,0.00832599123231123,0.0073999999585794285,0.009330000102636399,0.004056649877779858,0.002875770925862678,0.002599999788799323,0.0029000002541579306,0.002475537358828402,0.013957004371690994,0.012399999832268804,0.02813000082824146,0.005755219975019926,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-919c1cb6713b4b7f9fe0a06a29ce2122,0.1,fraction_0.1,1135,always,always,1,1,6,0.015575400000670925,0.015575400000670925,72871.32272372516,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.00030687224993785836,0.00030000046535860747,0.00030000046535860747,0.00041509657954863613,0.00017920704117446875,0.00019999970390927047,0.000200001522898674,4.186498019772635e-05,0.007611894252156687,0.006900001608300954,0.008500001058564521,0.003456023216799446,0.0026553303597824205,0.0024000000848900527,0.0027999994927085936,0.0020538960879924717,0.01276933918807077,0.011600001016631722,0.01545999894005944,0.005020577329087706,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-a8dbf55a5cc44976bfcfbfd239883520,0.1,fraction_0.1,1135,always,always,1,1,7,0.017050899999958347,0.017050899999958347,66565.40123997987,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.00039039649158287466,0.00030000046535860747,0.00039999940781854093,0.0012713880626176886,0.00019841409164751645,0.00019999970390927047,0.000200001522898674,0.0007765375888381563,0.008293303989524244,0.0068999997893115506,0.02183000015065772,0.004901923492396511,0.00277876653677747,0.0024000000848900527,0.0029000002541579306,0.0026447651449477594,0.013882026420177948,0.011599999197642319,0.03152999943267786,0.00720450992702641,0.1
rbpg-1b5652fe4ab1c453c044daf6,rbpg-exec-89e652d2c493475dae42a742ea769b8a,0.1,fraction_0.1,1135,never,never,1,1,1,0.011207999999896856,0.011207999999896856,101266.95217794835,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0003244933531986804,0.00030000046535860747,0.00039999940781854093,0.000752440429412467,0.00019383258300388257,0.00019999970390927047,0.000200001522898674,0.0005602208757604774,0.003274449290623601,0.002599999788799323,0.003499999365885742,0.0033109827919973007,0.0028074889580102735,0.002300001142430119,0.0029000002541579306,0.0027760692722426576,0.008799823787022846,0.007099999493220821,0.023990000227058758,0.005206155244532291,0.1
rbpg-1b5652fe4ab1c453c044daf6,rbpg-exec-f57782038f0a457199ad4b77e177b6a0,0.1,fraction_0.1,1135,never,never,1,1,2,0.009187200001179008,0.009187200001179008,123541.44895662919,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.00029911888853825287,0.00030000046535860747,0.00030000046535860747,0.0004987730564532554,0.00015770922115458265,0.00019999970390927047,0.000200001522898674,4.940208070003964e-05,0.0026382378788817763,0.002599999788799323,0.00270000055024866,0.0009560014238641725,0.0023295154170279845,0.0022999993234407157,0.0024000000848900527,0.0006989237627530348,0.0072492511139999015,0.007099999493220821,0.0073999999585794285,0.0014948713641618643,0.1
rbpg-1b5652fe4ab1c453c044daf6,rbpg-exec-ce8c8ea8ad4a4f708ce62984ade42e7d,0.1,fraction_0.1,1135,never,never,1,1,3,0.010692400001062197,0.010692400001062197,106150.16272186297,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0003109250753212285,0.00030000046535860747,0.00039999940781854093,0.0004255957396403281,0.00016484584257782064,0.00019999970390927047,0.000200001522898674,4.829560422446572e-05,0.0032198237823701918,0.0026999987312592566,0.0032999996619764715,0.0032313203038606838,0.0027020264637199055,0.002300001142430119,0.0027999994927085936,0.002423756394428883,0.00847048456271616,0.0072999991971300915,0.021859999833395694,0.004547877589951842,0.1
