configuration_id,execution_instance_id,dataset_fraction,workload_name,decision_points,policy,policy_mode,policy_seed,workers,repetition,runtime_seconds,total_runtime_seconds,throughput_points_per_second,trace_hash,reference_hash,hash_match,unauthorized_invocations,authorization_execution_consistent,row_count_match,validation_passed,fault_injected_count,intervention_rate,state_loading_ms_mean,state_loading_ms_median,state_loading_ms_p95,state_loading_ms_std,policy_inference_ms_mean,policy_inference_ms_median,policy_inference_ms_p95,policy_inference_ms_std,gating_ms_mean,gating_ms_median,gating_ms_p95,gating_ms_std,generation_stub_ms_mean,generation_stub_ms_median,generation_stub_ms_p95,generation_stub_ms_std,logging_ms_mean,logging_ms_median,logging_ms_p95,logging_ms_std,total_latency_ms_mean,total_latency_ms_median,total_latency_ms_p95,total_latency_ms_std,workload_fraction
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-2d897e7a6a62479488cde6aa7871b5ea,0.1,fraction_0.1,1135,always,always,1,1,1,0.0180359999994834,0.0180359999994834,62929.69616503135,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0003525109953679,0.0003000004653586,0.0005999991117278,0.0006710307590805,0.0001763876636911,0.0001999997039092,0.0003000004653586,6.0593154725121286e-05,0.0094202643426777,0.0070000005507608,0.015499999790336,0.0291713774707833,0.0027389427254541,0.00240000008489,0.0050999988161493,0.0014934508329713,0.0148459031003771,0.0118000007205409,0.0258000000030733,0.0299331163411708,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-79beafcdbdeb4ed7a5c42c03d8ce1f19,0.1,fraction_0.1,1135,always,always,1,1,2,0.0171320000008563,0.0171320000008563,66250.2918481944,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0003685462491772,0.0003000004653586,0.0004000012268079,0.0008844157888642,0.0002030837227152,0.0001999997039092,0.0002000015228986,0.0009285293365429,0.0082642291170582,0.0068999997893115,0.0223900002310983,0.0049721769912054,0.00288643170223,0.0023999982659006,0.0029999991966178,0.0030133112740664,0.014042643154061,0.0115000002551823,0.0319299993861932,0.0070710738009629,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-91a20b4a12e147a596b9fbeaebc6e19b,0.1,fraction_0.1,1135,always,always,1,1,3,0.0180904999997437,0.0180904999997437,62740.11221448141,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0004613215840572,0.0003000004653586,0.0004000012268079,0.0035396970587794,0.0002278413848965,0.0001999997039092,0.0002000015228986,0.0012617099735071,0.0084401762102974,0.0072000002546701,0.0120599990623304,0.0056526075303562,0.0031849339373342,0.00240000008489,0.0032999996619764,0.0107006637367323,0.0149003524118613,0.0120000004244502,0.027589999808697,0.0196657532050093,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-2d4677ef8ed74c8eb4ad3fd933d46740,0.1,fraction_0.1,1135,always,always,1,1,4,0.0176946999999927,0.0176946999999927,64143.50059625006,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.00035030840594,0.0003000004653586,0.0004000012268079,0.0007498942207005,0.0002530396543904,0.0001999997039092,0.0002000015228986,0.0011791832388988,0.0085559471290853,0.0072000002546701,0.0218300001506577,0.005290391726068,0.0030067841168405,0.0024999990273499,0.0030000010156072,0.0030668524334073,0.0144016740148495,0.0120999993669101,0.0323999998727231,0.0072904069004275,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-e60870921ca6407188795cf3f84f0158,0.1,fraction_0.1,1135,always,always,1,1,5,0.0171554999997169,0.0171554999997169,66159.54067317907,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0003251101156119,0.0003000004653586,0.0004000012268079,5.204509476219196e-05,0.0002090748904518,0.0001999997039092,0.0002000015228986,0.0008857444613218,0.0083259912323112,0.0073999999585794,0.0093300001026363,0.0040566498777798,0.0028757709258626,0.0025999997887993,0.0029000002541579,0.0024755373588284,0.0139570043716909,0.0123999998322688,0.0281300008282414,0.0057552199750199,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-919c1cb6713b4b7f9fe0a06a29ce2122,0.1,fraction_0.1,1135,always,always,1,1,6,0.0155754000006709,0.0155754000006709,72871.32272372516,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0003068722499378,0.0003000004653586,0.0003000004653586,0.0004150965795486,0.0001792070411744,0.0001999997039092,0.0002000015228986,4.186498019772635e-05,0.0076118942521566,0.0069000016083009,0.0085000010585645,0.0034560232167994,0.0026553303597824,0.00240000008489,0.0027999994927085,0.0020538960879924,0.0127693391880707,0.0116000010166317,0.0154599989400594,0.0050205773290877,0.1
rbpg-c0b6703233965aafb13b2ccf,rbpg-exec-a8dbf55a5cc44976bfcfbfd239883520,0.1,fraction_0.1,1135,always,always,1,1,7,0.0170508999999583,0.0170508999999583,66565.40123997987,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0003903964915828,0.0003000004653586,0.0003999994078185,0.0012713880626176,0.0001984140916475,0.0001999997039092,0.0002000015228986,0.0007765375888381,0.0082933039895242,0.0068999997893115,0.0218300001506577,0.0049019234923965,0.0027787665367774,0.00240000008489,0.0029000002541579,0.0026447651449477,0.0138820264201779,0.0115999991976423,0.0315299994326778,0.0072045099270264,0.1
rbpg-1b5652fe4ab1c453c044daf6,rbpg-exec-89e652d2c493475dae42a742ea769b8a,0.1,fraction_0.1,1135,never,never,1,1,1,0.0112079999998968,0.0112079999998968,101266.95217794836,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0003244933531986,0.0003000004653586,0.0003999994078185,0.0007524404294124,0.0001938325830038,0.0001999997039092,0.0002000015228986,0.0005602208757604,0.0032744492906236,0.0025999997887993,0.0034999993658857,0.0033109827919973,0.0028074889580102,0.0023000011424301,0.0029000002541579,0.0027760692722426,0.0087998237870228,0.0070999994932208,0.0239900002270587,0.0052061552445322,0.1
rbpg-1b5652fe4ab1c453c044daf6,rbpg-exec-f57782038f0a457199ad4b77e177b6a0,0.1,fraction_0.1,1135,never,never,1,1,2,0.009187200001179,0.009187200001179,123541.4489566292,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0002991188885382,0.0003000004653586,0.0003000004653586,0.0004987730564532,0.0001577092211545,0.0001999997039092,0.0002000015228986,4.940208070003964e-05,0.0026382378788817,0.0025999997887993,0.0027000005502486,0.0009560014238641,0.0023295154170279,0.0022999993234407,0.00240000008489,0.000698923762753,0.0072492511139999,0.0070999994932208,0.0073999999585794,0.0014948713641618,0.1
rbpg-1b5652fe4ab1c453c044daf6,rbpg-exec-ce8c8ea8ad4a4f708ce62984ade42e7d,0.1,fraction_0.1,1135,never,never,1,1,3,0.0106924000010621,0.0106924000010621,106150.16272186296,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0003109250753212,0.0003000004653586,0.0003999994078185,0.0004255957396403,0.0001648458425778,0.0001999997039092,0.0002000015228986,4.829560422446572e-05,0.0032198237823701,0.0026999987312592,0.0032999996619764,0.0032313203038606,0.0027020264637199,0.0023000011424301,0.0027999994927085,0.0024237563944288,0.0084704845627161,0.00729999919713,0.0218599998333956,0.0045478775899518,0.1
