policy_mode,seed,workers,fault_mode,expected_rows,observed_rows,injected_events,ray_task_count,ray_execution_seconds,throughput_points_per_second,expected_hash,observed_hash,hash_match,row_count_match,unauthorized_invocations,authorization_execution_consistent,validation_passed,expected_flagged,detected_flag,detection_correct,reference_source,workload_fraction,decision_points,ray_chunk_size,ray_init_seconds,input_csv
random,3,1,action_flip,11351,11351,119,45,0.22742590000052587,49910.76214263087,76f0073221be78fecf7782d395d1637091575056c6d5791694d9d2d3a06ce2b8,757a6eb1bfe2b5512210e5f6db747a9b04572d1203c09241b521a0550237f7f3,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
random,3,1,dropped_row,11351,11238,113,45,0.19456440000067232,57759.795728104255,76f0073221be78fecf7782d395d1637091575056c6d5791694d9d2d3a06ce2b8,2db990cf8531c042782758cfa9ede95b1bbb803f66a447ab25e22f47ad1ec665,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
never,1,1,clean,11351,11351,0,45,0.2131349000010232,53257.3501568514,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
never,1,1,action_flip,11351,11351,107,45,0.1738865999977861,65278.17554742297,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,2d3c7b2044214c3f9e44c95e541e8af3e21278dfe22c7addee88323df4be0992,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
never,1,1,dropped_row,11351,11238,113,45,0.15483880000101635,72578.70766194412,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,f236849b2229d9b42a756d8b3ec228fc8d6631dc029cd58f68dc2af800b6d8c9,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
never,2,1,clean,11351,11351,0,45,0.13774679999914952,82404.81811606574,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
never,2,1,action_flip,11351,11351,132,45,0.16911180000170134,67121.277166264,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,ae23237c3e27868b2d40d2079aa292c76e9756d508dc6fbc164b1e6794c6ca39,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
never,2,1,dropped_row,11351,11238,113,45,0.13979309999922407,80390.23385319002,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,f236849b2229d9b42a756d8b3ec228fc8d6631dc029cd58f68dc2af800b6d8c9,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
never,3,1,clean,11351,11351,0,45,0.14716369999950984,77131.79269098159,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
never,3,1,action_flip,11351,11351,102,45,0.17140350000045146,66223.85190483335,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,3447aa6664b2a578134e3424fd30b74469c20eeb677b2f495033e0b1be92ebfe,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
never,3,1,dropped_row,11351,11238,113,45,0.13710580000042683,81965.8978683981,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,f236849b2229d9b42a756d8b3ec228fc8d6631dc029cd58f68dc2af800b6d8c9,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
risk_proxy,1,4,clean,11351,11351,0,45,2.4162317000009352,4697.811058432685,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
risk_proxy,1,4,action_flip,11351,11351,116,45,0.10527100000035716,107826.46692784801,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,c648144569c0bf2ca3e0329e70e687d5445acc0427f429d6cb50854946542fb4,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
