dataset_fraction,workload_name,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,fault_injected_count,memory_delta_mb,state_missing_count
0.1,fraction_0p1,always,1,0.6672718053332574,1701.6499115288145,0.5850080499326081,0.5032466663881981,0.662138666575629,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,always,2,1.0041344040000695,1131.2656454918963,1.7381122284910635,1.1363443333417915,1.7542321000291847,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,always,4,1.4116981589998734,804.885333502261,4.932975651392817,2.705218999835779,13.89342643351479,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,always,8,1.554411424999974,730.2158228537805,10.88005311248761,5.964254999829184,52.061246099977616,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,1,0.6708214450000014,1694.2318252776574,0.5879932616586094,0.5163369999839537,0.7300245332468571,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,2,0.9938057856664576,1142.2646931001466,1.7154592942672036,1.102594333133311,1.76247276704089,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,4,1.4600193926665572,779.7543178139493,5.099408718642561,2.755135666423788,19.252044333249298,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,8,1.5606459836662907,727.277910747423,10.868751211163994,6.036501333255728,51.737472000089234,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,1,0.4994963550000951,2367.562636444737,0.013552484581018842,0.012876666914962698,0.01603633330281203,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,2,0.44173873999989155,2571.221079569852,0.02808912393023129,0.013320000107341912,0.01835423360413794,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,4,0.45945705799992237,2484.452200586207,0.039716950648522556,0.013450333426590078,0.02276413324580062,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,8,0.4473616506666076,2541.2658045034746,0.033447343324117994,0.013563666470872704,0.021100233273803795,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,never,1,0.6845409333333615,1659.9197457124867,0.600029051388707,0.4969040001014946,0.705873333360311,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,never,2,1.044932794666541,1088.6418908148041,1.799636860798297,1.1080113335992792,1.6574843333122162,0.0,0.0,0.0,,0.0
