dataset_fraction,workers,decision_points,measured_repetitions,unique_trace_hashes,all_runtime_decompositions_valid,end_to_end_runtime_seconds_median,end_to_end_runtime_seconds_q1,end_to_end_runtime_seconds_q3,end_to_end_runtime_seconds_median_ci95_low,end_to_end_runtime_seconds_median_ci95_high,checkpoint_preparation_seconds_median,checkpoint_preparation_seconds_q1,checkpoint_preparation_seconds_q3,checkpoint_preparation_seconds_median_ci95_low,checkpoint_preparation_seconds_median_ci95_high,replay_only_runtime_seconds_median,replay_only_runtime_seconds_q1,replay_only_runtime_seconds_q3,replay_only_runtime_seconds_median_ci95_low,replay_only_runtime_seconds_median_ci95_high,post_replay_validation_seconds_median,post_replay_validation_seconds_q1,post_replay_validation_seconds_q3,post_replay_validation_seconds_median_ci95_low,post_replay_validation_seconds_median_ci95_high,timed_execution_runtime_seconds_median,timed_execution_runtime_seconds_q1,timed_execution_runtime_seconds_q3,timed_execution_runtime_seconds_median_ci95_low,timed_execution_runtime_seconds_median_ci95_high,checkpoint_preparation_share_median,replay_only_share_median,post_replay_validation_share_median,end_to_end_throughput_points_per_second_median,replay_only_throughput_points_per_second_median
0.1,1,1135,7,1,1,0.6150516000000152,0.5905674499998668,0.6178998999999976,0.5782303999999385,0.6197744999999486,0.5957746999999927,0.5715136999999686,0.5990342000000055,0.5591933000000608,0.6007669999999052,0.012960199999952238,0.012768150000056266,0.013004649999970752,0.012723099999902843,0.013031100000034712,0.006076899999925445,0.006020049999960975,0.006246499999974731,0.006000800000037998,0.006298700000115787,0.6087528999998995,0.5845093499999621,0.6118023500000618,0.5721535000000131,0.6135802000001149,0.9683691198192663,0.02161387085357489,0.01024092937912141,1845.3736239365476,87575.80901561571
0.25,1,2837,7,1,1,1.5586368000001585,1.5164750999999796,1.5920412000000397,1.514234100000067,1.5964146999999684,1.5102013000000625,1.4721161499999198,1.5451548500000172,1.469721599999957,1.54950759999997,0.03278690000001916,0.031810700000164616,0.033383299999968585,0.03176870000015697,0.033837299999959214,0.013028300000087256,0.012785899999926187,0.013934400000039204,0.012743799999952898,0.014025200000105542,1.544611600000053,1.5038384000000633,1.5784669500000064,1.501490300000114,1.582294499999989,0.970603950868556,0.02098004529164649,0.008560204670769742,1820.1803011450208,86528.46106214196
0.5,1,5675,7,1,1,3.128095499999972,2.8990415499999926,3.1395850499998232,2.845066000000088,3.1437807999998313,3.037673799999993,2.8093077499999026,3.0476271999998517,2.759044299999914,3.0510463999999047,0.06425560000002406,0.0631388000001607,0.06482144999995398,0.062093800000184274,0.06526469999994333,0.02604350000001432,0.02489224999999351,0.02717229999996107,0.023927899999989677,0.0273471000000427,3.102051999999958,2.8734040499999765,3.112351449999892,2.8211381000000983,3.116311099999848,0.9705022691149677,0.02075993975150775,0.00847805990640274,1814.2029231524582,88319.15039308442
0.75,1,8513,7,1,1,4.652359400000023,4.238634199999979,4.694737400000008,4.2192589999999655,4.708921099999998,4.514830999999958,4.107355449999886,4.529746449999834,4.088057799999888,4.532744199999797,0.09561770000004799,0.09399120000011862,0.11215325000011944,0.09364840000012009,0.12651590000018587,0.03877469999997629,0.037287549999973635,0.044699400000013156,0.03702229999998963,0.04966100000001461,4.612621600000011,4.201346650000005,4.650519550000013,4.181706200000008,4.659260099999983,0.9691507726591427,0.02215448373601931,0.008694743604837908,1829.824239288125,89031.6332645078
1.0,1,11351,15,1,1,6.02168359999996,5.678117000000043,6.189821700000039,5.6466649000001325,6.177256299999954,5.834816300000057,5.500028899999961,6.009998200000041,5.531897599999866,6.024376000000075,0.12728569999990214,0.12436679999996159,0.13095149999992373,0.12427969999998822,0.13026319999994485,0.054350200000044424,0.05238195000003998,0.05518749999998818,0.052243600000110746,0.05522750000000087,5.966456099999959,5.625735050000003,6.1358679999999595,5.594144600000163,6.122906099999909,0.9693564691878601,0.021751265202310716,0.008892265609829149,1885.0209931322322,89177.33885274408
1.0,2,11351,15,1,1,6.44261890000007,5.870687599999997,6.5303486500000645,5.909118600000056,6.548397100000102,5.917231099999981,5.466119799999888,6.053883300000166,5.4509129999999,6.048110000000179,0.37973810000016783,0.36859400000003006,0.44115324999995664,0.36828810000019985,0.4438539000000219,0.05950389999998151,0.05821880000007695,0.0611585000000332,0.05836550000003626,0.06092869999997674,6.381230599999981,5.811752899999988,6.469179900000086,5.849614700000075,6.48656260000007,0.9276047700243861,0.06232538639522252,0.009442692472029652,1761.8611586663733,29891.654274340613
1.0,4,11351,15,1,1,6.26909210000008,5.91850844999999,6.444517700000006,5.9422627000001285,6.457588499999929,5.893386200000123,5.470980699999927,6.0321934500000225,5.468469099999993,6.003167600000097,0.3696570000001884,0.3610548999998855,0.3861674500000163,0.3605678999999782,0.3877628000000186,0.0581293000000187,0.057741500000020096,0.05985219999990932,0.05787190000000919,0.06002659999990101,6.208540399999947,5.860505749999902,6.385439750000046,5.835925499999803,6.373317600000064,0.9317610885881006,0.059411903926180634,0.009425818255298646,1810.6290063915085,30706.844453085465
1.0,8,11351,15,1,1,6.2769358999998985,6.029649049999989,6.462638900000002,6.056422099999963,6.462974199999962,5.882951999999932,5.502548700000034,6.00223619999997,5.488663600000109,6.0032315999999355,0.3737800999999763,0.3559024999999565,0.42912870000009207,0.3595075000000634,0.4476443000000927,0.05779009999992013,0.057088850000013736,0.0611084499998924,0.05707070000016756,0.05996359999994638,6.219828900000039,5.970336449999877,6.401530450000109,5.946719999999914,6.403010600000016,0.9286579951077233,0.0613734033747003,0.00930300151017564,1808.366403741702,30368.122861545384
