policy_mode,seed,workers,decision_points,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,fault_injected_count,trace_hash,memory_before_mb,memory_after_mb,memory_delta_mb,state_missing_count,dataset_fraction,workload_name,input_csv
bc,2,8,1135,1.5036695369999507,754.8201064606906,10.512958132155775,5.1449990000946855,57.82574539998677,1.0,0,0,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,,,,0,0.1,fraction_0p1,paper_outputs/replay_input_clean.csv
bc,3,1,1135,0.6728155749999587,1686.9407340935436,0.5895221850262551,0.43922800000473217,0.56196999992153,1.0,0,0,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,,,,0,0.1,fraction_0p1,paper_outputs/replay_input_clean.csv
bc,3,2,1135,1.0750579650000418,1055.757026087385,1.871217093391235,1.0715880000589095,1.5069342000288086,1.0,0,0,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,,,,0,0.1,fraction_0p1,paper_outputs/replay_input_clean.csv
bc,3,4,1135,1.467074249999996,773.6486411645512,5.140902840529302,2.4911489999794867,16.12475709994183,1.0,0,0,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,,,,0,0.1,fraction_0p1,paper_outputs/replay_input_clean.csv
bc,3,8,1135,1.5305897559999266,741.5442286548626,10.74700530131613,5.17386800015629,58.125687100073264,1.0,0,0,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,,,,0,0.1,fraction_0p1,paper_outputs/replay_input_clean.csv
bc_live,1,1,1135,0.7521055560000605,1509.096683231933,0.01190923524133807,0.01169400002254406,0.012136799955442257,1.0,0,0,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,,,,0,0.1,fraction_0p1,paper_outputs/replay_input_clean.csv
bc_live,1,2,1135,0.39789407299986124,2852.51798661599,0.02112962642788045,0.01896699995995732,0.020074999906682933,1.0,0,0,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,,,,0,0.1,fraction_0p1,paper_outputs/replay_input_clean.csv
bc_live,1,4,1135,0.4038435599998138,2810.4942418805026,0.03739791013385551,0.012651999895751942,0.020199599953230063,1.0,0,0,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,,,,0,0.1,fraction_0p1,paper_outputs/replay_input_clean.csv
bc_live,1,8,1135,0.400139167999896,2836.513120355903,0.031904258151567645,0.012306999906286364,0.01691540003321276,1.0,0,0,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,,,,0,0.1,fraction_0p1,paper_outputs/replay_input_clean.csv
bc_live,2,1,1135,0.3648440720000963,3110.9180252754677,0.01238083524217693,0.011818999837487354,0.012761600032717979,1.0,0,0,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,,,,0,0.1,fraction_0p1,paper_outputs/replay_input_clean.csv
