dataset_fraction,workload_name,policy_mode,seed,workers,runtime_seconds,throughput_points_per_second,speedup_vs_single_worker,throughput_gain_vs_single_worker
0.1,fraction_0p1,always,1,1,0.6306986800000232,1799.5915260199345,1.0,1.0
0.1,fraction_0p1,always,1,2,1.0776030800000171,1053.2635077471957,0.5852792105976656,0.5852792105976656
0.1,fraction_0p1,always,1,4,1.5542172059999757,730.2711587662205,0.405798287115368,0.405798287115368
0.1,fraction_0p1,always,1,8,1.5426172869999846,735.7625313581822,0.4088497421331111,0.40884974213311115
0.1,fraction_0p1,always,2,1,0.6899084230001336,1645.1458804696754,1.0,1.0
0.1,fraction_0p1,always,2,2,1.0331598419998045,1098.5715412661334,0.6677654269495543,0.6677654269495544
0.1,fraction_0p1,always,2,4,1.4810927359999368,766.326086417352,0.46581041566877485,0.46581041566877485
0.1,fraction_0p1,always,2,8,1.599732971000094,709.4934095722488,0.4312647394951348,0.43126473949513483
0.1,fraction_0p1,always,3,1,0.6439540159999524,1762.5482127594712,1.0,1.0
0.1,fraction_0p1,always,3,2,1.065899563999892,1064.828280575331,0.6041413635478489,0.604141363547849
0.1,fraction_0p1,always,3,4,1.5299779280001076,741.8407672610034,0.42089104961251905,0.42089104961251905
0.1,fraction_0p1,always,3,8,1.5452318529999047,734.5176051066493,0.41673617764854093,0.41673617764854093
0.1,fraction_0p1,bc,1,1,0.6980180269999892,1626.0325035989617,1.0,1.0
0.1,fraction_0p1,bc,1,2,1.0888496710001618,1042.384481741586,0.6410600522649057,0.6410600522649057
0.1,fraction_0p1,bc,1,4,1.5545706059999702,730.105146475426,0.44901017959939643,0.4490101795993964
0.1,fraction_0p1,bc,1,8,1.5351271730000917,739.3524262761077,0.45469719986511337,0.45469719986511337
0.1,fraction_0p1,bc,2,1,0.6386653409999781,1777.1435635177813,1.0,1.0
0.1,fraction_0p1,bc,2,2,1.0689441570000326,1061.795410515505,0.5974730642547107,0.5974730642547107
0.1,fraction_0p1,bc,2,4,1.5547485960000813,730.0215629202219,0.4107836743786612,0.4107836743786612
0.1,fraction_0p1,bc,2,8,1.5036695369999507,754.8201064606906,0.42473783320383846,0.4247378332038385
0.1,fraction_0p1,bc,3,1,0.6728155749999587,1686.9407340935436,1.0,1.0
0.1,fraction_0p1,bc,3,2,1.0750579650000418,1055.757026087385,0.6258412075482205,0.6258412075482206
0.1,fraction_0p1,bc,3,4,1.467074249999996,773.6486411645512,0.4586104452449905,0.45861044524499056
0.1,fraction_0p1,bc,3,8,1.5305897559999266,741.5442286548626,0.43957930096063635,0.43957930096063635
0.1,fraction_0p1,bc_live,1,1,0.7521055560000605,1509.096683231933,1.0,1.0
0.1,fraction_0p1,bc_live,1,2,0.39789407299986124,2852.51798661599,1.8902155298008743,1.8902155298008743
0.1,fraction_0p1,bc_live,1,4,0.4038435599998138,2810.4942418805026,1.862368576585466,1.8623685765854658
0.1,fraction_0p1,bc_live,1,8,0.400139167999896,2836.513120355903,1.8796099361116678,1.8796099361116676
0.1,fraction_0p1,bc_live,2,1,0.3648440720000963,3110.9180252754677,1.0,1.0
0.1,fraction_0p1,bc_live,2,2,0.4039425050000318,2809.805816300294,0.9032079255934394,0.9032079255934393
0.1,fraction_0p1,bc_live,2,4,0.44272680199992465,2563.657756595891,0.8240839957101995,0.8240839957101995
0.1,fraction_0p1,bc_live,2,8,0.3872857840001416,2930.6523680703576,0.942053870998691,0.9420538709986909
0.1,fraction_0p1,bc_live,3,1,0.3677794499999436,3086.088687119887,1.0,1.0
0.1,fraction_0p1,bc_live,3,2,0.3939287709999917,2881.2315412220146,0.9336191643639844,0.9336191643639844
0.1,fraction_0p1,bc_live,3,4,0.38701960799994595,2932.667948958696,0.9502863482823717,0.9502863482823717
0.1,fraction_0p1,bc_live,3,8,0.38949906200014084,2913.999315355449,0.9442370621159818,0.9442370621159818
0.1,fraction_0p1,never,1,1,0.6491477409999789,1748.4463525230644,1.0,1.0
0.1,fraction_0p1,never,1,2,0.9960589649999747,1139.4907730186724,0.6517161772646616,0.6517161772646616
0.1,fraction_0p1,never,1,4,1.474371347999977,769.8196262018093,0.4402878161465662,0.44028781614656626
0.1,fraction_0p1,never,1,8,1.4604950319999261,777.1337629582963,0.44447103672175425,0.44447103672175425
0.1,fraction_0p1,never,2,1,0.6525324060000912,1739.3772164624745,1.0,1.0
0.1,fraction_0p1,never,2,2,1.0718767569999272,1058.8903925641118,0.6087755907931638,0.6087755907931639
0.1,fraction_0p1,never,2,4,1.4494158949999019,783.0740672262856,0.45020370498981965,0.45020370498981965
0.1,fraction_0p1,never,2,8,1.421422082999925,798.4961072256395,0.4590701198499149,0.4590701198499149
0.1,fraction_0p1,never,3,1,0.6365182310000819,1783.1382429010962,1.0,1.0
0.1,fraction_0p1,never,3,2,1.0530269060000137,1077.8452037007924,0.6044653060366091,0.604465306036609
0.1,fraction_0p1,never,3,4,1.4589170760000343,777.9743061969434,0.4362950036510964,0.4362950036510964
0.1,fraction_0p1,never,3,8,1.4609074119998695,776.9143962698311,0.43570059660984095,0.43570059660984095
0.1,fraction_0p1,proxy,1,1,2.255626158000041,503.1862199214571,1.0,1.0
0.1,fraction_0p1,proxy,1,2,1.1013954259999537,1030.510907533084,2.047971241529503,2.047971241529503
0.1,fraction_0p1,proxy,1,4,1.4078748739998446,806.1795980316112,1.6021495941551196,1.6021495941551196
0.1,fraction_0p1,proxy,1,8,1.526101036,743.725332219747,1.4780319944688387,1.4780319944688387
0.1,fraction_0p1,proxy,2,1,0.5712896709999313,1986.7329265964208,1.0,1.0
0.1,fraction_0p1,proxy,2,2,1.1287974509998548,1005.4948290276977,0.5061046784734499,0.5061046784734499
0.1,fraction_0p1,proxy,2,4,1.4566167179998502,779.2029200094055,0.3922031540214617,0.3922031540214617
0.1,fraction_0p1,proxy,2,8,1.456696612000087,779.1601838365037,0.39218164324246896,0.39218164324246896
0.1,fraction_0p1,proxy,3,1,0.6730238269999518,1686.418748440657,1.0,1.0
0.1,fraction_0p1,proxy,3,2,1.0599143540000568,1070.8412389327252,0.634979443820152,0.634979443820152
0.1,fraction_0p1,proxy,3,4,1.4665549609999289,773.9225805940014,0.45891483435511315,0.45891483435511315
0.1,fraction_0p1,proxy,3,8,1.4617450520001967,776.4691923854361,0.4604249052042361,0.4604249052042362
0.1,fraction_0p1,random,1,1,0.6956592179999461,1631.5459791694846,1.0,1.0
0.1,fraction_0p1,random,1,2,1.134719086999894,1000.2475617122549,0.6130673450106608,0.6130673450106608
0.1,fraction_0p1,random,1,4,1.5404316849999304,736.8064491610683,0.45160017466141483,0.4516001746614148
0.1,fraction_0p1,random,1,8,1.5437760059999164,735.2102867182803,0.4506218617832203,0.4506218617832203
0.1,fraction_0p1,random,2,1,0.7498170359999676,1513.7026041110769,1.0,1.0
0.1,fraction_0p1,random,2,2,1.0662400110002181,1064.4882843359812,0.7032347579008777,0.7032347579008776
0.1,fraction_0p1,random,2,4,1.5508942440001192,731.8358452814741,0.4834739950198113,0.48347399501981125
0.1,fraction_0p1,random,2,8,1.5175075700001344,747.9369608679444,0.4941109031831065,0.49411090318310646
0.1,fraction_0p1,random,3,1,0.6932231020000472,1637.2795377496273,1.0,1.0
0.1,fraction_0p1,random,3,2,1.077206158000081,1053.6516075132897,0.6435380050992943,0.6435380050992943
0.1,fraction_0p1,random,3,4,1.532203587999902,740.7631785287743,0.45243537309879445,0.45243537309879445
0.1,fraction_0p1,random,3,8,1.5967611529999886,710.8138858886731,0.4341432660092102,0.43414326600921016
0.25,fraction_0p25,always,1,1,1.8565895739998268,1528.0706300035833,1.0,1.0
0.25,fraction_0p25,always,1,2,2.7624669449999146,1026.9806142422774,0.6720766658802081,0.6720766658802081
0.25,fraction_0p25,always,1,4,3.85792038600016,735.3702814332474,0.48124102838853916,0.4812410283885392
0.25,fraction_0p25,always,1,8,3.8002131020000434,746.5370819617704,0.4885488061242429,0.4885488061242429
0.25,fraction_0p25,always,2,1,1.5981909360000373,1775.1320797128672,1.0,1.0
0.25,fraction_0p25,always,2,2,2.7607179990000077,1027.6312180482118,0.5789040882042051,0.5789040882042052
0.25,fraction_0p25,always,2,4,3.853654502000154,736.1843150514708,0.41472086695123594,0.41472086695123594
0.25,fraction_0p25,always,2,8,3.8159150200001477,743.4651938343978,0.41882246528644534,0.41882246528644534
0.25,fraction_0p25,always,3,1,1.7346410549998836,1635.496860761312,1.0,1.0
0.25,fraction_0p25,always,3,2,2.786988561999806,1017.9446154469714,0.6224069515933681,0.6224069515933681
0.25,fraction_0p25,always,3,4,3.7746235679999245,751.5981259829978,0.4595533895633002,0.45955338956330016
0.25,fraction_0p25,always,3,8,3.8630015950000143,734.4030102581382,0.4490396942225123,0.4490396942225122
0.25,fraction_0p25,bc,1,1,1.6830403569999817,1685.6399124361762,1.0,1.0
0.25,fraction_0p25,bc,1,2,2.792491872000028,1015.938498674338,0.6027019716245623,0.6027019716245623
0.25,fraction_0p25,bc,1,4,3.7747203820001687,751.5788489998604,0.44587153131278123,0.44587153131278123
0.25,fraction_0p25,bc,1,8,3.8841577400000915,730.4028800848683,0.4333089615974098,0.43330896159740984
0.25,fraction_0p25,bc,2,1,1.6826668939997944,1686.014035289118,1.0,1.0
0.25,fraction_0p25,bc,2,2,2.757335416999922,1028.8918723884365,0.6102510719680941,0.6102510719680941
0.25,fraction_0p25,bc,2,4,3.877168107999978,731.7196265352176,0.4339937931831879,0.4339937931831879
0.25,fraction_0p25,bc,2,8,3.8105944590001855,744.5032607181099,0.44157595674489286,0.4415759567448929
0.25,fraction_0p25,bc,3,1,1.7141405370000484,1655.0568280504529,1.0,1.0
0.25,fraction_0p25,bc,3,2,2.76493623500005,1026.0634455463123,0.619956625148,0.6199566251479999
0.25,fraction_0p25,bc,3,4,3.7710501120000117,752.3103421437618,0.45455257450581527,0.45455257450581527
0.25,fraction_0p25,bc,3,8,3.8940242430001035,728.5522182096812,0.44019770551798354,0.44019770551798354
0.25,fraction_0p25,bc_live,1,1,0.9236542859998735,3071.4955184004725,1.0,1.0
0.25,fraction_0p25,bc_live,1,2,1.0262376559999211,2764.466869261147,0.9000393628120235,0.9000393628120236
0.25,fraction_0p25,bc_live,1,4,0.9638036670000929,2943.5455551132764,0.9583427804075625,0.9583427804075625
0.25,fraction_0p25,bc_live,1,8,1.0044027279998318,2824.564212056257,0.9196055130587302,0.9196055130587302
0.25,fraction_0p25,bc_live,2,1,0.897943338999994,3159.442112638712,1.0,1.0
0.25,fraction_0p25,bc_live,2,2,1.0168055499998445,2790.110655867716,0.8831023188259853,0.8831023188259852
0.25,fraction_0p25,bc_live,2,4,0.9731895630000054,2915.1566229856744,0.9226808148578439,0.9226808148578438
0.25,fraction_0p25,bc_live,2,8,1.010184307999907,2808.398405650408,0.8888906033175845,0.8888906033175844
0.25,fraction_0p25,bc_live,3,1,0.8959519710001587,3166.4643773628104,1.0,1.0
0.25,fraction_0p25,bc_live,3,2,0.9691722610000397,2927.240196776416,0.9244506957676144,0.9244506957676143
0.25,fraction_0p25,bc_live,3,4,1.0179276010001104,2787.0351459304743,0.8801725880307096,0.8801725880307096
0.25,fraction_0p25,bc_live,3,8,0.971904147000032,2919.012135874657,0.9218521947515974,0.9218521947515973
0.25,fraction_0p25,never,1,1,1.6278370999998515,1742.8033800189583,1.0,1.0
0.25,fraction_0p25,never,1,2,2.660766163000062,1066.2342446512591,0.6117926192222903,0.6117926192222903
0.25,fraction_0p25,never,1,4,3.658023254999989,775.5554850894486,0.44500457939266336,0.44500457939266336
